	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.24782680457746478	0.24782680457746478	0.15234375	0.104736328125	0.6613372093023256	0.009114583333333334	0.0061287715517241385	0.2259034231417976	0.009114583333333334	0.552951388888889	0.38587068256578944	0.009114583333333334	0.009114583333333334
brf_gmosa	0.24782680457746478	1.0	0.8550998263888888	0.028275923295454544	0.38587068256578944	0.3542639659309411	0.021158854166666664	0.0061287715517241385	0.06253616898148148	0.0061287715517241385	0.921875	0.7868240870786517	0.0061287715517241385	0.18042732007575757
brf_gso	0.24782680457746478	0.8550998263888888	1.0	0.009114583333333334	0.6302174238862748	0.5053807736086902	0.038637907608695655	0.0061287715517241385	0.12737630208333334	0.0061287715517241385	0.6613372093023256	0.7190163352272727	0.0061287715517241385	0.18042732007575757
brf_lmo	0.15234375	0.028275923295454544	0.009114583333333334	1.0	0.009114583333333334	0.06253616898148148	0.009114583333333334	0.0061287715517241385	0.6613372093023256	0.009114583333333334	0.08078835227272728	0.24782680457746478	0.11887766068392802	0.05078125
brf_lso	0.104736328125	0.38587068256578944	0.6302174238862748	0.009114583333333334	1.0	0.15234375	0.021158854166666664	0.0061287715517241385	0.12737630208333334	0.0061287715517241385	0.2937554253472222	0.7190163352272727	0.0061287715517241385	0.15234375
brf_sgso	0.6613372093023256	0.3542639659309411	0.5053807736086902	0.06253616898148148	0.15234375	1.0	0.021158854166666664	0.0061287715517241385	0.12737630208333334	0.0061287715517241385	0.38587068256578944	0.4375	0.0061287715517241385	0.05078125
brf_sgso_us	0.009114583333333334	0.021158854166666664	0.038637907608695655	0.009114583333333334	0.021158854166666664	0.021158854166666664	1.0	0.0061287715517241385	0.009114583333333334	0.0061287715517241385	0.028275923295454544	0.06253616898148148	0.0061287715517241385	0.06253616898148148
bxt_gmo	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	1.0	0.06253616898148148	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.009114583333333334	0.0061287715517241385
bxt_gmosa	0.2259034231417976	0.06253616898148148	0.12737630208333334	0.6613372093023256	0.12737630208333334	0.12737630208333334	0.009114583333333334	0.06253616898148148	1.0	0.4375	0.05078125	0.0061287715517241385	0.497206289556962	0.0061287715517241385
bxt_gso	0.009114583333333334	0.0061287715517241385	0.0061287715517241385	0.009114583333333334	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.4375	1.0	0.0061287715517241385	0.0061287715517241385	0.1890043044435106	0.0061287715517241385
bxt_lmo	0.552951388888889	0.921875	0.6613372093023256	0.08078835227272728	0.2937554253472222	0.38587068256578944	0.028275923295454544	0.0061287715517241385	0.05078125	0.0061287715517241385	1.0	0.6177353277439024	0.0061287715517241385	0.038637907608695655
bxt_lso	0.38587068256578944	0.7868240870786517	0.7190163352272727	0.24782680457746478	0.7190163352272727	0.4375	0.06253616898148148	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.6177353277439024	1.0	0.0061287715517241385	0.18042732007575757
bxt_sgso	0.009114583333333334	0.0061287715517241385	0.0061287715517241385	0.11887766068392802	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.009114583333333334	0.497206289556962	0.1890043044435106	0.0061287715517241385	0.0061287715517241385	1.0	0.0061287715517241385
bxt_sgso_us	0.009114583333333334	0.18042732007575757	0.18042732007575757	0.05078125	0.15234375	0.05078125	0.06253616898148148	0.0061287715517241385	0.0061287715517241385	0.0061287715517241385	0.038637907608695655	0.18042732007575757	0.0061287715517241385	1.0
