	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.007727581521739131	0.021450700431034486	0.054466985887096774	0.007727581521739131	0.016767393867924526	0.007727581521739131	0.021450700431034486	0.013101023177315556	0.005733366935483871	0.01134474734042553	0.020707163650849666	0.005733366935483871	0.005733366935483871
brf_gmosa	0.007727581521739131	1.0	0.005733366935483871	0.005733366935483871	0.2897313784246575	0.007727581521739131	0.005733366935483871	0.005733366935483871	0.007727581521739131	0.007727581521739131	0.005733366935483871	0.04147135416666667	0.007727581521739131	0.005733366935483871
brf_gso	0.021450700431034486	0.005733366935483871	1.0	1.0	0.005733366935483871	0.016767393867924526	0.007727581521739131	0.005733366935483871	1.0	0.8142714389534884	0.054466985887096774	0.6578480113636364	0.6935975609756098	0.007727581521739131
brf_lmo	0.054466985887096774	0.005733366935483871	1.0	1.0	0.005733366935483871	0.2560911986363943	0.007727581521739131	0.005733366935483871	0.8745339133522727	0.8745339133522727	0.016767393867924526	0.33865603885135137	0.8142714389534884	0.007727581521739131
brf_lso	0.007727581521739131	0.2897313784246575	0.005733366935483871	0.005733366935483871	1.0	0.020707163650849666	0.005733366935483871	0.005733366935483871	0.021450700431034486	0.016767393867924526	0.005733366935483871	0.04147135416666667	0.016767393867924526	0.005733366935483871
brf_sgso	0.016767393867924526	0.007727581521739131	0.016767393867924526	0.2560911986363943	0.020707163650849666	1.0	0.005733366935483871	0.005733366935483871	0.39101562500000003	0.11579663825757576	0.7085370640588978	0.9425912921348315	0.10587541654662339	0.005733366935483871
brf_sgso_us	0.007727581521739131	0.005733366935483871	0.007727581521739131	0.007727581521739131	0.005733366935483871	0.005733366935483871	1.0	0.6935975609756098	0.005733366935483871	0.005733366935483871	0.005733366935483871	0.005733366935483871	0.005733366935483871	0.6578480113636364
bxt_gmo	0.021450700431034486	0.005733366935483871	0.005733366935483871	0.005733366935483871	0.005733366935483871	0.005733366935483871	0.6935975609756098	1.0	0.007727581521739131	0.007727581521739131	0.005733366935483871	0.007727581521739131	0.005733366935483871	0.24782680457746478
bxt_gmosa	0.013101023177315556	0.007727581521739131	1.0	0.8745339133522727	0.021450700431034486	0.39101562500000003	0.005733366935483871	0.007727581521739131	1.0	0.6935975609756098	0.17258265398550726	0.1411420036764706	0.6935975609756098	0.005733366935483871
bxt_gso	0.005733366935483871	0.007727581521739131	0.8142714389534884	0.8745339133522727	0.016767393867924526	0.11579663825757576	0.005733366935483871	0.007727581521739131	0.6935975609756098	1.0	0.0705295138888889	0.1411420036764706	0.8142714389534884	0.005733366935483871
bxt_lmo	0.01134474734042553	0.005733366935483871	0.054466985887096774	0.016767393867924526	0.005733366935483871	0.7085370640588978	0.005733366935483871	0.005733366935483871	0.17258265398550726	0.0705295138888889	1.0	0.6935975609756098	0.11579663825757576	0.007727581521739131
bxt_lso	0.020707163650849666	0.04147135416666667	0.6578480113636364	0.33865603885135137	0.04147135416666667	0.9425912921348315	0.005733366935483871	0.007727581521739131	0.1411420036764706	0.1411420036764706	0.6935975609756098	1.0	0.208203125	0.005733366935483871
bxt_sgso	0.005733366935483871	0.007727581521739131	0.6935975609756098	0.8142714389534884	0.016767393867924526	0.10587541654662339	0.005733366935483871	0.005733366935483871	0.6935975609756098	0.8142714389534884	0.11579663825757576	0.208203125	1.0	0.005733366935483871
bxt_sgso_us	0.005733366935483871	0.005733366935483871	0.007727581521739131	0.007727581521739131	0.005733366935483871	0.005733366935483871	0.6578480113636364	0.24782680457746478	0.005733366935483871	0.005733366935483871	0.007727581521739131	0.005733366935483871	0.005733366935483871	1.0
