	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_gmosa	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.10574578179253472	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_gso	3.3459031438253015e-05	3.3459031438253015e-05	1.0	0.1590576171875	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.00031920685165229886	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_lmo	3.3459031438253015e-05	3.3459031438253015e-05	0.1590576171875	1.0	6.612141927083333e-05	3.3459031438253015e-05	3.3459031438253015e-05	9.801528033088236e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_lso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	6.612141927083333e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	0.013538360595703125	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_sgso	3.3459031438253015e-05	0.10574578179253472	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_sgso_us	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
bxt_gmo	3.3459031438253015e-05	3.3459031438253015e-05	0.00031920685165229886	9.801528033088236e-05	0.013538360595703125	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
bxt_gmosa	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	0.00031920685165229886	3.3459031438253015e-05	3.3459031438253015e-05
bxt_gso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	0.025524353713132022	3.3459031438253015e-05
bxt_lmo	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
bxt_lso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.00031920685165229886	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05
bxt_sgso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.025524353713132022	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05
bxt_sgso_us	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0
