	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.7995238572024228	0.045659845525568184	0.45838289482648986	0.979949951171875	8.816189236111111e-05	4.55262231045082e-05	0.13439052919798258	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
brf_gmosa	0.7995238572024228	1.0	0.0021820068359375	0.3535950442394578	0.7995238572024228	0.001020992503446691	4.55262231045082e-05	0.007730844858530405	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
brf_gso	0.045659845525568184	0.0021820068359375	1.0	0.0005890817353219697	0.01856271844161184	0.16364059448242188	4.55262231045082e-05	0.0003037452697753906	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
brf_lmo	0.45838289482648986	0.3535950442394578	0.0005890817353219697	1.0	0.40674591064453125	0.001328178074048913	4.55262231045082e-05	0.21661376953125	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
brf_lso	0.979949951171875	0.7995238572024228	0.01856271844161184	0.40674591064453125	1.0	0.015885009765625	4.55262231045082e-05	0.003394232855902778	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
brf_sgso	8.816189236111111e-05	0.001020992503446691	0.16364059448242188	0.001328178074048913	0.015885009765625	1.0	4.55262231045082e-05	0.0007875357101212686	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
brf_sgso_us	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	1.0	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
bxt_gmo	0.13439052919798258	0.007730844858530405	0.0003037452697753906	0.21661376953125	0.003394232855902778	0.0007875357101212686	4.55262231045082e-05	1.0	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
bxt_gmosa	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	1.0	0.005211817075128425	0.12201436360677084	0.330542587652439	4.55262231045082e-05	4.55262231045082e-05
bxt_gso	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.005211817075128425	1.0	0.9503234863281249	0.00042724609375	0.4322473862591912	4.55262231045082e-05
bxt_lmo	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.12201436360677084	0.9503234863281249	1.0	0.003394232855902778	0.738165844445941	4.55262231045082e-05
bxt_lso	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.330542587652439	0.00042724609375	0.003394232855902778	1.0	8.816189236111111e-05	4.55262231045082e-05
bxt_sgso	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.4322473862591912	0.738165844445941	8.816189236111111e-05	1.0	4.55262231045082e-05
bxt_sgso_us	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	1.0
