	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.00011817445146276595	0.00011817445146276595	0.8471145629882812	0.0294961640329072	6.9427490234375e-05	6.9427490234375e-05	0.4380340576171875	0.0294961640329072	0.6620673202886814	0.49899910069719144	0.9306123906915837	0.8998121941226652	6.9427490234375e-05
brf_gmosa	0.00011817445146276595	1.0	0.07718703326056985	0.001239776611328125	0.025948524475097653	0.0007476806640625	6.9427490234375e-05	0.0009955640109080188	0.00011817445146276595	6.9427490234375e-05	0.00011817445146276595	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05
brf_gso	0.00011817445146276595	0.07718703326056985	1.0	0.0016077945106907894	0.306036376953125	0.00011817445146276595	6.9427490234375e-05	0.0007476806640625	0.0020588841931573278	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05
brf_lmo	0.8471145629882812	0.001239776611328125	0.0016077945106907894	1.0	0.001239776611328125	0.0001735687255859375	6.9427490234375e-05	0.13218222724066842	0.06018430795242537	0.5565856180073303	0.306036376953125	0.9503234863281249	0.8788376752068014	6.9427490234375e-05
brf_lso	0.0294961640329072	0.025948524475097653	0.306036376953125	0.001239776611328125	1.0	0.000396728515625	6.9427490234375e-05	6.9427490234375e-05	0.24035226482234587	6.9427490234375e-05	0.00011817445146276595	0.001239776611328125	0.004006307633196721	6.9427490234375e-05
brf_sgso	6.9427490234375e-05	0.0007476806640625	0.00011817445146276595	0.0001735687255859375	0.000396728515625	1.0	6.9427490234375e-05	0.00011817445146276595	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05
brf_sgso_us	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	1.0	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05
bxt_gmo	0.4380340576171875	0.0009955640109080188	0.0007476806640625	0.13218222724066842	6.9427490234375e-05	0.00011817445146276595	6.9427490234375e-05	1.0	0.007569836032006048	0.0862510791723279	0.3566380550986842	0.10822753906249999	0.11976730991417253	6.9427490234375e-05
bxt_gmosa	0.0294961640329072	0.00011817445146276595	0.0020588841931573278	0.06018430795242537	0.24035226482234587	6.9427490234375e-05	6.9427490234375e-05	0.007569836032006048	1.0	0.000555419921875	0.004006307633196721	0.009080674913194444	0.004006307633196721	6.9427490234375e-05
bxt_gso	0.6620673202886814	6.9427490234375e-05	6.9427490234375e-05	0.5565856180073303	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	0.0862510791723279	0.000555419921875	1.0	0.8998121941226652	0.5275100708007813	0.4380340576171875	6.9427490234375e-05
bxt_lmo	0.49899910069719144	0.00011817445146276595	6.9427490234375e-05	0.306036376953125	0.00011817445146276595	6.9427490234375e-05	6.9427490234375e-05	0.3566380550986842	0.004006307633196721	0.8998121941226652	1.0	0.979949951171875	0.9503234863281249	6.9427490234375e-05
bxt_lso	0.9306123906915837	6.9427490234375e-05	6.9427490234375e-05	0.9503234863281249	0.001239776611328125	6.9427490234375e-05	6.9427490234375e-05	0.10822753906249999	0.009080674913194444	0.5275100708007813	0.979949951171875	1.0	0.8471145629882812	6.9427490234375e-05
bxt_sgso	0.8998121941226652	6.9427490234375e-05	6.9427490234375e-05	0.8788376752068014	0.004006307633196721	6.9427490234375e-05	6.9427490234375e-05	0.11976730991417253	0.004006307633196721	0.4380340576171875	0.9503234863281249	0.8471145629882812	1.0	6.9427490234375e-05
bxt_sgso_us	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	1.0
