	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_gmosa	3.911407900528169e-05	1.0	0.001404885684742647	3.911407900528169e-05	3.911407900528169e-05	0.0011176132574314025	0.00018270392166940788	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.00018270392166940788	0.0011176132574314025
brf_gso	3.911407900528169e-05	0.001404885684742647	1.0	3.911407900528169e-05	3.911407900528169e-05	0.1993831287730824	0.001404885684742647	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.00025246360085227275	0.001404885684742647
brf_lmo	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_lso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_sgso	3.911407900528169e-05	0.0011176132574314025	0.1993831287730824	3.911407900528169e-05	3.911407900528169e-05	1.0	0.030677263126816862	3.911407900528169e-05	3.911407900528169e-05	0.00011412738120719178	3.911407900528169e-05	3.911407900528169e-05	0.00011412738120719178	0.0008678436279296875
brf_sgso_us	3.911407900528169e-05	0.00018270392166940788	0.001404885684742647	3.911407900528169e-05	3.911407900528169e-05	0.030677263126816862	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.00018270392166940788	0.0008678436279296875
bxt_gmo	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
bxt_gmosa	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	0.0004984537760416667	3.911407900528169e-05	3.911407900528169e-05	0.10939218806124282	3.911407900528169e-05
bxt_gso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.00011412738120719178	3.911407900528169e-05	3.911407900528169e-05	0.0004984537760416667	1.0	3.911407900528169e-05	3.911407900528169e-05	0.6032168918185764	0.860260009765625
bxt_lmo	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
bxt_lso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05
bxt_sgso	3.911407900528169e-05	0.00018270392166940788	0.00025246360085227275	3.911407900528169e-05	3.911407900528169e-05	0.00011412738120719178	0.00018270392166940788	3.911407900528169e-05	0.10939218806124282	0.6032168918185764	3.911407900528169e-05	3.911407900528169e-05	1.0	0.30454485603932585
bxt_sgso_us	3.911407900528169e-05	0.0011176132574314025	0.001404885684742647	3.911407900528169e-05	3.911407900528169e-05	0.0008678436279296875	0.0008678436279296875	3.911407900528169e-05	3.911407900528169e-05	0.860260009765625	3.911407900528169e-05	3.911407900528169e-05	0.30454485603932585	1.0
