	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.8721045778508774e-05	4.8721045778508774e-05	0.0005802894706156716	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05
brf_gmosa	4.8721045778508774e-05	1.0	0.14223434264401355	4.8721045778508774e-05	0.00013017654418945312	4.8721045778508774e-05	0.00013017654418945312	4.8721045778508774e-05	0.0007647085880887681	0.0009918212890625	0.00021038633404356062	0.00021038633404356062	0.0072415508801424045	4.8721045778508774e-05
brf_gso	4.8721045778508774e-05	0.14223434264401355	1.0	4.8721045778508774e-05	0.00013017654418945312	4.8721045778508774e-05	0.00013017654418945312	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	9.256998697916666e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05
brf_lmo	0.0005802894706156716	4.8721045778508774e-05	4.8721045778508774e-05	1.0	0.0012728373209635417	4.8721045778508774e-05	0.5461734424937855	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.049174983326981704
brf_lso	4.8721045778508774e-05	0.00013017654418945312	0.00013017654418945312	0.0012728373209635417	1.0	4.8721045778508774e-05	0.004877726236979167	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	9.256998697916666e-05
brf_sgso	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	1.0	9.256998697916666e-05	4.8721045778508774e-05	0.028045277536651238	0.0020365397135416667	0.8698184543185764	0.5461734424937855	0.17028521369485294	4.8721045778508774e-05
brf_sgso_us	4.8721045778508774e-05	0.00013017654418945312	0.00013017654418945312	0.5461734424937855	0.004877726236979167	9.256998697916666e-05	1.0	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.003215589021381579
bxt_gmo	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	1.0	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05
bxt_gmosa	4.8721045778508774e-05	0.0007647085880887681	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.028045277536651238	4.8721045778508774e-05	4.8721045778508774e-05	1.0	0.3686438272165698	0.010448837280273437	0.0007647085880887681	0.899932861328125	4.8721045778508774e-05
bxt_gso	4.8721045778508774e-05	0.0009918212890625	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.0020365397135416667	4.8721045778508774e-05	4.8721045778508774e-05	0.3686438272165698	1.0	0.0020365397135416667	0.0012728373209635417	0.17028521369485294	4.8721045778508774e-05
bxt_lmo	4.8721045778508774e-05	0.00021038633404356062	9.256998697916666e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.8698184543185764	4.8721045778508774e-05	4.8721045778508774e-05	0.010448837280273437	0.0020365397135416667	1.0	0.6463777349236306	0.0020365397135416667	4.8721045778508774e-05
bxt_lso	4.8721045778508774e-05	0.00021038633404356062	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.5461734424937855	4.8721045778508774e-05	4.8721045778508774e-05	0.0007647085880887681	0.0012728373209635417	0.6463777349236306	1.0	0.004877726236979167	4.8721045778508774e-05
bxt_sgso	4.8721045778508774e-05	0.0072415508801424045	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.17028521369485294	4.8721045778508774e-05	4.8721045778508774e-05	0.899932861328125	0.17028521369485294	0.0020365397135416667	0.004877726236979167	1.0	4.8721045778508774e-05
bxt_sgso_us	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	0.049174983326981704	9.256998697916666e-05	4.8721045778508774e-05	0.003215589021381579	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	4.8721045778508774e-05	1.0
