	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.479192918346774e-05	0.0005253972233952703	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05
brf_gmosa	4.479192918346774e-05	1.0	0.007334391276041667	0.027043660481770832	0.0012058458830180921	4.479192918346774e-05	4.479192918346774e-05	0.0005253972233952703	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	0.0005253972233952703	4.479192918346774e-05	4.479192918346774e-05
brf_gso	0.0005253972233952703	0.007334391276041667	1.0	4.479192918346774e-05	0.18554900413335756	4.479192918346774e-05	4.479192918346774e-05	0.979949951171875	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	8.544921875e-05	4.479192918346774e-05	4.479192918346774e-05
brf_lmo	4.479192918346774e-05	0.027043660481770832	4.479192918346774e-05	1.0	0.0005253972233952703	4.479192918346774e-05	4.479192918346774e-05	0.00020419850068933824	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	0.0005253972233952703	4.479192918346774e-05	4.479192918346774e-05
brf_lso	4.479192918346774e-05	0.0012058458830180921	0.18554900413335756	0.0005253972233952703	1.0	4.479192918346774e-05	4.479192918346774e-05	0.017204470750762195	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	8.544921875e-05	4.479192918346774e-05	4.479192918346774e-05
brf_sgso	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	1.0	4.479192918346774e-05	4.479192918346774e-05	0.0007035319010416667	0.00020419850068933824	0.0005253972233952703	0.28706272169091235	8.544921875e-05	4.479192918346774e-05
brf_sgso_us	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	1.0	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05
bxt_gmo	4.479192918346774e-05	0.0005253972233952703	0.979949951171875	0.00020419850068933824	0.017204470750762195	4.479192918346774e-05	4.479192918346774e-05	1.0	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	0.00012623180042613637	4.479192918346774e-05	4.479192918346774e-05
bxt_gmosa	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	0.0007035319010416667	4.479192918346774e-05	4.479192918346774e-05	1.0	0.979949951171875	0.008788289903085443	0.004941073330965909	0.6913400129838423	4.479192918346774e-05
bxt_gso	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	0.00020419850068933824	4.479192918346774e-05	4.479192918346774e-05	0.979949951171875	1.0	0.010448837280273437	0.03590626436121323	0.9610012783093399	4.479192918346774e-05
bxt_lmo	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	0.0005253972233952703	4.479192918346774e-05	4.479192918346774e-05	0.008788289903085443	0.010448837280273437	1.0	4.479192918346774e-05	0.020008500800075303	4.479192918346774e-05
bxt_lso	4.479192918346774e-05	0.0005253972233952703	8.544921875e-05	0.0005253972233952703	8.544921875e-05	0.28706272169091235	4.479192918346774e-05	0.00012623180042613637	0.004941073330965909	0.03590626436121323	4.479192918346774e-05	1.0	0.012342664930555556	4.479192918346774e-05
bxt_sgso	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	8.544921875e-05	4.479192918346774e-05	4.479192918346774e-05	0.6913400129838423	0.9610012783093399	0.020008500800075303	0.012342664930555556	1.0	4.479192918346774e-05
bxt_sgso_us	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	4.479192918346774e-05	1.0
