	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.019537712545955883	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_gmosa	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	0.002370694788490854	0.01699718797063253	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_gso	3.515315961234177e-05	3.515315961234177e-05	1.0	0.019537712545955883	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_lmo	3.515315961234177e-05	3.515315961234177e-05	0.019537712545955883	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_lso	3.515315961234177e-05	0.002370694788490854	3.515315961234177e-05	3.515315961234177e-05	1.0	0.0015124012940196353	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_sgso	3.515315961234177e-05	0.01699718797063253	3.515315961234177e-05	3.515315961234177e-05	0.0015124012940196353	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_sgso_us	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
bxt_gmo	0.019537712545955883	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
bxt_gmosa	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	0.21863347833806818	0.000347137451171875	3.515315961234177e-05
bxt_gso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	0.252227783203125	0.09887766283611919	0.252227783203125	3.515315961234177e-05
bxt_lmo	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.252227783203125	1.0	3.515315961234177e-05	0.21863347833806818	3.515315961234177e-05
bxt_lso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.21863347833806818	0.09887766283611919	3.515315961234177e-05	1.0	0.252227783203125	3.515315961234177e-05
bxt_sgso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.000347137451171875	0.252227783203125	0.21863347833806818	0.252227783203125	1.0	3.515315961234177e-05
bxt_sgso_us	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0
