	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0001983642578125	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.000128173828125	4.55262231045082e-05	4.55262231045082e-05	0.0001983642578125
brf_gmosa	4.55262231045082e-05	1.0	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0001983642578125	0.026414738144985465	4.55262231045082e-05	4.55262231045082e-05	0.0046970697096836425	4.55262231045082e-05
brf_gso	4.55262231045082e-05	4.55262231045082e-05	1.0	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0003606622869318182	0.014016185087316176	0.0001983642578125	4.55262231045082e-05
brf_lmo	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	1.0	0.0038668475573575946	4.55262231045082e-05	0.059644525701349434	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.08512278353230338	4.55262231045082e-05	4.55262231045082e-05	8.678436279296875e-05
brf_lso	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0038668475573575946	1.0	4.55262231045082e-05	0.0003606622869318182	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.14385986328125	0.0001983642578125	4.55262231045082e-05	8.678436279296875e-05
brf_sgso	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	1.0	4.55262231045082e-05	4.55262231045082e-05	0.0003606622869318182	0.0002662972228167808	4.55262231045082e-05	4.55262231045082e-05	0.01190185546875	4.55262231045082e-05
brf_sgso_us	0.0001983642578125	4.55262231045082e-05	4.55262231045082e-05	0.059644525701349434	0.0003606622869318182	4.55262231045082e-05	1.0	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0057235345607850605	4.55262231045082e-05	4.55262231045082e-05	0.010071168462914157
bxt_gmo	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	1.0	4.55262231045082e-05	4.55262231045082e-05	8.678436279296875e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05
bxt_gmosa	4.55262231045082e-05	0.0001983642578125	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0003606622869318182	4.55262231045082e-05	4.55262231045082e-05	1.0	0.09448310004340277	4.55262231045082e-05	4.55262231045082e-05	0.059644525701349434	4.55262231045082e-05
bxt_gso	4.55262231045082e-05	0.026414738144985465	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0002662972228167808	4.55262231045082e-05	4.55262231045082e-05	0.09448310004340277	1.0	4.55262231045082e-05	0.0002662972228167808	0.0046970697096836425	4.55262231045082e-05
bxt_lmo	0.000128173828125	4.55262231045082e-05	0.0003606622869318182	0.08512278353230338	0.14385986328125	4.55262231045082e-05	0.0057235345607850605	8.678436279296875e-05	4.55262231045082e-05	4.55262231045082e-05	1.0	0.0008900960286458334	4.55262231045082e-05	0.0003606622869318182
bxt_lso	4.55262231045082e-05	4.55262231045082e-05	0.014016185087316176	4.55262231045082e-05	0.0001983642578125	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0002662972228167808	0.0008900960286458334	1.0	0.0002662972228167808	4.55262231045082e-05
bxt_sgso	4.55262231045082e-05	0.0046970697096836425	0.0001983642578125	4.55262231045082e-05	4.55262231045082e-05	0.01190185546875	4.55262231045082e-05	4.55262231045082e-05	0.059644525701349434	0.0046970697096836425	4.55262231045082e-05	0.0002662972228167808	1.0	4.55262231045082e-05
bxt_sgso_us	0.0001983642578125	4.55262231045082e-05	4.55262231045082e-05	8.678436279296875e-05	8.678436279296875e-05	4.55262231045082e-05	0.010071168462914157	4.55262231045082e-05	4.55262231045082e-05	4.55262231045082e-05	0.0003606622869318182	4.55262231045082e-05	4.55262231045082e-05	1.0
