	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
brf_gmosa	4.9591064453125e-05	1.0	0.001635825797303082	4.9591064453125e-05	0.003215589021381579	4.9591064453125e-05	4.9591064453125e-05	8.958385836693549e-05	4.9591064453125e-05	4.9591064453125e-05	0.00013017654418945312	8.958385836693549e-05	4.9591064453125e-05	4.9591064453125e-05
brf_gso	4.9591064453125e-05	0.001635825797303082	1.0	0.00029907226562499997	0.2016748888739224	8.958385836693549e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.0005890817353219697	0.0007647085880887681	4.9591064453125e-05	4.9591064453125e-05
brf_lmo	4.9591064453125e-05	4.9591064453125e-05	0.00029907226562499997	1.0	8.958385836693549e-05	0.5123117620294745	4.9591064453125e-05	4.9591064453125e-05	0.6099946097041784	0.2016748888739224	0.04450390006922468	0.001635825797303082	0.09238936261432927	4.9591064453125e-05
brf_lso	4.9591064453125e-05	0.003215589021381579	0.2016748888739224	8.958385836693549e-05	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.00013017654418945312	8.958385836693549e-05	0.0007647085880887681	0.06560897827148438	8.958385836693549e-05	4.9591064453125e-05
brf_sgso	4.9591064453125e-05	4.9591064453125e-05	8.958385836693549e-05	0.5123117620294745	4.9591064453125e-05	1.0	4.9591064453125e-05	4.9591064453125e-05	0.6759769015842013	0.15401467715992648	0.015472412109375	0.0007647085880887681	0.11329905192057291	4.9591064453125e-05
brf_sgso_us	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.0012907646071742957
bxt_gmo	4.9591064453125e-05	8.958385836693549e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
bxt_gmosa	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.6099946097041784	0.00013017654418945312	0.6759769015842013	4.9591064453125e-05	4.9591064453125e-05	1.0	0.08303870683834877	0.0020640605204814188	4.9591064453125e-05	0.10245155426393072	4.9591064453125e-05
bxt_gso	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.2016748888739224	8.958385836693549e-05	0.15401467715992648	4.9591064453125e-05	4.9591064453125e-05	0.08303870683834877	1.0	0.0009918212890625	4.9591064453125e-05	0.860260009765625	4.9591064453125e-05
bxt_lmo	4.9591064453125e-05	0.00013017654418945312	0.0005890817353219697	0.04450390006922468	0.0007647085880887681	0.015472412109375	4.9591064453125e-05	4.9591064453125e-05	0.0020640605204814188	0.0009918212890625	1.0	0.021291097005208336	0.0025919596354166668	4.9591064453125e-05
bxt_lso	4.9591064453125e-05	8.958385836693549e-05	0.0007647085880887681	0.001635825797303082	0.06560897827148438	0.0007647085880887681	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.021291097005208336	1.0	4.9591064453125e-05	4.9591064453125e-05
bxt_sgso	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.09238936261432927	8.958385836693549e-05	0.11329905192057291	4.9591064453125e-05	4.9591064453125e-05	0.10245155426393072	0.860260009765625	0.0025919596354166668	4.9591064453125e-05	1.0	4.9591064453125e-05
bxt_sgso_us	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.0012907646071742957	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0
