	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	0.01666259765625	9.576205549568966e-05	0.00015869140624999998	0.00731658935546875	0.00015869140624999998	9.576205549568966e-05	9.576205549568966e-05
brf_gmosa	9.576205549568966e-05	1.0	0.01921573761970766	9.576205549568966e-05	0.00015869140624999998	0.005091349283854167	0.4373931884765625	0.006109619140625	0.00022517023859797296	0.003320445185122283	0.00015869140624999998	9.576205549568966e-05	0.00731658935546875	0.025549316406249998
brf_gso	9.576205549568966e-05	0.01921573761970766	1.0	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	0.19298990885416667	9.576205549568966e-05	0.00015869140624999998	0.0016145927961482558	9.576205549568966e-05	9.576205549568966e-05	0.029055922778684698	0.10377983197773973
brf_lmo	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	1.0	0.00015869140624999998	9.576205549568966e-05	0.0009256998697916666	0.240496826171875	0.006109619140625	0.056793642715669015	0.01021575927734375	0.93988037109375	0.0020365397135416667	0.014412189352101295
brf_lso	9.576205549568966e-05	0.00015869140624999998	9.576205549568966e-05	0.00015869140624999998	1.0	9.576205549568966e-05	0.240496826171875	0.01021575927734375	0.17690875079180743	0.738165844445941	0.00022517023859797296	0.025549316406249998	0.240496826171875	0.9099321153428819
brf_sgso	9.576205549568966e-05	0.005091349283854167	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	1.0	0.01021575927734375	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	0.00035603841145833337
brf_sgso_us	9.576205549568966e-05	0.4373931884765625	0.19298990885416667	0.0009256998697916666	0.240496826171875	0.01021575927734375	1.0	0.004136105801196808	0.28336701569733797	0.240496826171875	9.576205549568966e-05	0.008855279886497642	0.8795916953783357	0.056793642715669015
bxt_gmo	0.01666259765625	0.006109619140625	9.576205549568966e-05	0.240496826171875	0.01021575927734375	9.576205549568966e-05	0.004136105801196808	1.0	0.029055922778684698	0.05095374065896739	0.20996334678248355	0.7689094543457031	0.012180261444627192	0.01666259765625
bxt_gmosa	9.576205549568966e-05	0.00022517023859797296	0.00015869140624999998	0.006109619140625	0.17690875079180743	9.576205549568966e-05	0.28336701569733797	0.029055922778684698	1.0	0.3866264529344512	0.00035603841145833337	0.05095374065896739	0.0020365397135416667	0.4373931884765625
bxt_gso	0.00015869140624999998	0.003320445185122283	0.0016145927961482558	0.056793642715669015	0.738165844445941	9.576205549568966e-05	0.240496826171875	0.05095374065896739	0.3866264529344512	1.0	9.576205549568966e-05	0.0009256998697916666	0.08265728420681424	0.5303933536305147
bxt_lmo	0.00731658935546875	0.00015869140624999998	9.576205549568966e-05	0.01021575927734375	0.00022517023859797296	9.576205549568966e-05	9.576205549568966e-05	0.20996334678248355	0.00035603841145833337	9.576205549568966e-05	1.0	0.025549316406249998	0.00069427490234375	9.576205549568966e-05
bxt_lso	0.00015869140624999998	9.576205549568966e-05	9.576205549568966e-05	0.93988037109375	0.025549316406249998	9.576205549568966e-05	0.008855279886497642	0.7689094543457031	0.05095374065896739	0.0009256998697916666	0.025549316406249998	1.0	9.576205549568966e-05	0.01921573761970766
bxt_sgso	9.576205549568966e-05	0.00731658935546875	0.029055922778684698	0.0020365397135416667	0.240496826171875	9.576205549568966e-05	0.8795916953783357	0.012180261444627192	0.0020365397135416667	0.08265728420681424	0.00069427490234375	9.576205549568966e-05	1.0	0.5588751504587572
bxt_sgso_us	9.576205549568966e-05	0.025549316406249998	0.10377983197773973	0.014412189352101295	0.9099321153428819	0.00035603841145833337	0.056793642715669015	0.01666259765625	0.4373931884765625	0.5303933536305147	9.576205549568966e-05	0.01921573761970766	0.5588751504587572	1.0
