	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.006640890370244566	0.5854991566051136	0.08331298828125	0.001735687255859375	0.7242609659830729	9.918212890625e-05	0.979949951171875	0.001735687255859375	0.6472399747824367	0.11837387084960936	0.006640890370244566	0.7555344525505514	9.918212890625e-05
brf_gmosa	0.006640890370244566	1.0	0.022062513563368056	0.08331298828125	0.044716010659427964	0.044716010659427964	9.918212890625e-05	0.009777704874674479	0.006640890370244566	0.000396728515625	0.3764512803819445	0.07557353035348362	0.000396728515625	9.918212890625e-05
brf_gso	0.5854991566051136	0.022062513563368056	1.0	0.013613233379289215	9.918212890625e-05	0.979949951171875	9.918212890625e-05	0.6472399747824367	0.0014656914605034722	0.27098233934859156	0.5854991566051136	0.015771829857016507	0.05086720784505208	9.918212890625e-05
brf_lmo	0.08331298828125	0.08331298828125	0.013613233379289215	1.0	0.00026875157510080646	0.6931038362434112	9.918212890625e-05	0.4020327215325342	0.001735687255859375	0.015771829857016507	0.979949951171875	0.013613233379289215	0.009777704874674479	9.918212890625e-05
brf_lso	0.001735687255859375	0.044716010659427964	9.918212890625e-05	0.00026875157510080646	1.0	0.03019464666193182	9.918212890625e-05	0.006640890370244566	0.23126397616621377	9.918212890625e-05	0.17620075282765857	0.6786190032958984	0.000396728515625	9.918212890625e-05
brf_sgso	0.7242609659830729	0.044716010659427964	0.979949951171875	0.6931038362434112	0.03019464666193182	1.0	9.918212890625e-05	0.8998121941226652	9.918212890625e-05	0.5854991566051136	0.04056549072265625	9.918212890625e-05	0.6931038362434112	0.00026875157510080646
brf_sgso_us	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	1.0	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.42842390730574326
bxt_gmo	0.979949951171875	0.009777704874674479	0.6472399747824367	0.4020327215325342	0.006640890370244566	0.8998121941226652	9.918212890625e-05	1.0	0.0029125678830030487	0.6931038362434112	0.21285651711856618	0.013613233379289215	0.9719217473810369	9.918212890625e-05
bxt_gmosa	0.001735687255859375	0.006640890370244566	0.0014656914605034722	0.001735687255859375	0.23126397616621377	9.918212890625e-05	9.918212890625e-05	0.0029125678830030487	1.0	9.918212890625e-05	0.000396728515625	0.16086139100970645	0.00019152411099137933	9.918212890625e-05
bxt_gso	0.6472399747824367	0.000396728515625	0.27098233934859156	0.015771829857016507	9.918212890625e-05	0.5854991566051136	9.918212890625e-05	0.6931038362434112	9.918212890625e-05	1.0	0.146417236328125	0.001735687255859375	0.7867910695630451	9.918212890625e-05
bxt_lmo	0.11837387084960936	0.3764512803819445	0.5854991566051136	0.979949951171875	0.17620075282765857	0.04056549072265625	9.918212890625e-05	0.21285651711856618	0.000396728515625	0.146417236328125	1.0	0.044716010659427964	0.27098233934859156	9.918212890625e-05
bxt_lso	0.006640890370244566	0.07557353035348362	0.015771829857016507	0.013613233379289215	0.6786190032958984	9.918212890625e-05	9.918212890625e-05	0.013613233379289215	0.16086139100970645	0.001735687255859375	0.044716010659427964	1.0	0.004628499348958333	9.918212890625e-05
bxt_sgso	0.7555344525505514	0.000396728515625	0.05086720784505208	0.009777704874674479	0.000396728515625	0.6931038362434112	9.918212890625e-05	0.9719217473810369	0.00019152411099137933	0.7867910695630451	0.27098233934859156	0.004628499348958333	1.0	9.918212890625e-05
bxt_sgso_us	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.00026875157510080646	0.42842390730574326	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	1.0
