	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05
brf_gmosa	4.2077266808712124e-05	1.0	4.2077266808712124e-05	0.003818511962890625	0.11196612189797794	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.0001902123020119863	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05
brf_gso	4.2077266808712124e-05	4.2077266808712124e-05	1.0	0.0001190185546875	8.28984958022388e-05	0.023740814953315547	4.2077266808712124e-05	0.5745163821102528	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05
brf_lmo	4.2077266808712124e-05	0.003818511962890625	0.0001190185546875	1.0	0.07084910074869791	0.0015115858633306962	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.0001902123020119863	4.2077266808712124e-05	4.2077266808712124e-05	0.0001190185546875	4.2077266808712124e-05
brf_lso	4.2077266808712124e-05	0.11196612189797794	8.28984958022388e-05	0.07084910074869791	1.0	0.0005049272017045455	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.0003702799479166667	4.2077266808712124e-05	4.2077266808712124e-05	0.0003702799479166667	4.2077266808712124e-05
brf_sgso	4.2077266808712124e-05	4.2077266808712124e-05	0.023740814953315547	0.0015115858633306962	0.0005049272017045455	1.0	4.2077266808712124e-05	0.12203277938667384	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05
brf_sgso_us	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	1.0	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.0001190185546875
bxt_gmo	4.2077266808712124e-05	4.2077266808712124e-05	0.5745163821102528	4.2077266808712124e-05	4.2077266808712124e-05	0.12203277938667384	4.2077266808712124e-05	1.0	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05
bxt_gmosa	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	1.0	0.9908382839626736	0.0008900960286458334	0.014708342375578705	1.0	4.2077266808712124e-05
bxt_gso	4.2077266808712124e-05	0.0001902123020119863	4.2077266808712124e-05	0.0001902123020119863	0.0003702799479166667	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.9908382839626736	1.0	0.12203277938667384	0.0001902123020119863	0.5461734424937855	4.2077266808712124e-05
bxt_lmo	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.0008900960286458334	0.12203277938667384	1.0	4.2077266808712124e-05	0.04858251364834337	4.2077266808712124e-05
bxt_lso	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.014708342375578705	0.0001902123020119863	4.2077266808712124e-05	1.0	0.0005049272017045455	4.2077266808712124e-05
bxt_sgso	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.0001190185546875	0.0003702799479166667	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	1.0	0.5461734424937855	0.04858251364834337	0.0005049272017045455	1.0	4.2077266808712124e-05
bxt_sgso_us	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	0.0001190185546875	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	4.2077266808712124e-05	1.0
