	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	9.576205549568966e-05	0.0002619905291863207	0.0008794148763020833	0.00012342664930555555	9.576205549568966e-05	0.00012342664930555555	0.18554900413335756	0.00012342664930555555	0.00012342664930555555	0.0002619905291863207	9.576205549568966e-05	0.00012342664930555555	0.001865863800048828
brf_gmosa	9.576205549568966e-05	1.0	9.576205549568966e-05	0.00012342664930555555	0.06065770199424342	0.0002619905291863207	9.576205549568966e-05	9.576205549568966e-05	0.3080055930397727	0.002901447353078358	0.00012342664930555555	0.632171630859375	0.031118732609160957	9.576205549568966e-05
brf_gso	0.0002619905291863207	9.576205549568966e-05	1.0	0.07728992808948863	0.0002619905291863207	0.0011197982295866936	9.576205549568966e-05	0.0014546712239583333	0.00012342664930555555	0.00012342664930555555	0.035176595052083336	9.576205549568966e-05	0.00049591064453125	9.576205549568966e-05
brf_lmo	0.0008794148763020833	0.00012342664930555555	0.07728992808948863	1.0	0.0001735687255859375	0.00012342664930555555	9.576205549568966e-05	0.005595038918887868	0.0001735687255859375	0.0008794148763020833	0.002901447353078358	0.0001735687255859375	0.0002619905291863207	9.576205549568966e-05
brf_lso	0.00012342664930555555	0.06065770199424342	0.0002619905291863207	0.0001735687255859375	1.0	0.002901447353078358	9.576205549568966e-05	0.00012342664930555555	0.6099946097041784	0.632171630859375	0.00012342664930555555	0.1743884718561747	0.1743884718561747	9.576205549568966e-05
brf_sgso	9.576205549568966e-05	0.0002619905291863207	0.0011197982295866936	0.00012342664930555555	0.002901447353078358	1.0	9.576205549568966e-05	9.576205549568966e-05	0.009778519751320422	0.035176595052083336	0.08623250325520834	0.0011197982295866936	0.13271064758300782	9.576205549568966e-05
brf_sgso_us	0.00012342664930555555	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	1.0	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	0.0006820946408991228
bxt_gmo	0.18554900413335756	9.576205549568966e-05	0.0014546712239583333	0.005595038918887868	0.00012342664930555555	9.576205549568966e-05	9.576205549568966e-05	1.0	0.00012342664930555555	0.00012342664930555555	0.0003534490411931818	9.576205549568966e-05	0.00012342664930555555	0.00012342664930555555
bxt_gmosa	0.00012342664930555555	0.3080055930397727	0.00012342664930555555	0.0001735687255859375	0.6099946097041784	0.009778519751320422	9.576205549568966e-05	0.00012342664930555555	1.0	0.28706272169091235	0.0003534490411931818	0.13271064758300782	0.14574630172164352	9.576205549568966e-05
bxt_gso	0.00012342664930555555	0.002901447353078358	0.00012342664930555555	0.0008794148763020833	0.632171630859375	0.035176595052083336	9.576205549568966e-05	0.00012342664930555555	0.28706272169091235	1.0	0.009778519751320422	0.18554900413335756	0.18554900413335756	9.576205549568966e-05
bxt_lmo	0.0002619905291863207	0.00012342664930555555	0.035176595052083336	0.002901447353078358	0.00012342664930555555	0.08623250325520834	9.576205549568966e-05	0.0003534490411931818	0.0003534490411931818	0.009778519751320422	1.0	0.0008794148763020833	0.016546885172526043	9.576205549568966e-05
bxt_lso	9.576205549568966e-05	0.632171630859375	9.576205549568966e-05	0.0001735687255859375	0.1743884718561747	0.0011197982295866936	9.576205549568966e-05	9.576205549568966e-05	0.13271064758300782	0.18554900413335756	0.0008794148763020833	1.0	0.006801881651947464	9.576205549568966e-05
bxt_sgso	0.00012342664930555555	0.031118732609160957	0.00049591064453125	0.0002619905291863207	0.1743884718561747	0.13271064758300782	9.576205549568966e-05	0.00012342664930555555	0.14574630172164352	0.18554900413335756	0.016546885172526043	0.006801881651947464	1.0	9.576205549568966e-05
bxt_sgso_us	0.001865863800048828	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	0.0006820946408991228	0.00012342664930555555	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	9.576205549568966e-05	1.0
