	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_gmosa	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	6.612141927083333e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_gso	3.3459031438253015e-05	3.3459031438253015e-05	1.0	0.5618896484375	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.008072963980741279	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_lmo	3.3459031438253015e-05	3.3459031438253015e-05	0.5618896484375	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.011491446659482757	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_lso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_sgso	3.3459031438253015e-05	6.612141927083333e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.006730382582720588	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
brf_sgso_us	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
bxt_gmo	3.3459031438253015e-05	3.3459031438253015e-05	0.008072963980741279	0.011491446659482757	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
bxt_gmosa	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	0.018871654163707386	3.3459031438253015e-05	3.3459031438253015e-05	0.05897436249122191	3.3459031438253015e-05
bxt_gso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.018871654163707386	1.0	3.3459031438253015e-05	3.3459031438253015e-05	0.5618896484375	3.3459031438253015e-05
bxt_lmo	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.006730382582720588	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05
bxt_lso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05	3.3459031438253015e-05
bxt_sgso	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	0.05897436249122191	0.5618896484375	3.3459031438253015e-05	3.3459031438253015e-05	1.0	3.3459031438253015e-05
bxt_sgso_us	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	3.3459031438253015e-05	1.0
