	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.8895870555530895	0.9201560716950492	0.12505116182215073	0.007273356119791666	0.7467491682185683	0.00011108398437499999	0.00011108398437499999	0.11478678385416667	0.03673107219192217	0.0014656914605034722	0.005960604039634146	0.03673107219192217	0.0003085666232638889
brf_gmosa	0.8895870555530895	1.0	0.6160476868411144	0.306036376953125	0.03001631067154255	0.5480624112215909	0.00011108398437499999	0.00011108398437499999	0.07203102111816406	0.03673107219192217	0.00044791929183467743	0.001876418654983108	0.03673107219192217	0.000213623046875
brf_gso	0.9201560716950492	0.6160476868411144	1.0	0.2635581656678082	0.00044791929183467743	0.93988037109375	0.00011108398437499999	0.00011108398437499999	0.10347900390624999	0.04711151123046875	0.0008678436279296874	0.001143511603860294	0.05262124949488147	0.00044791929183467743
brf_lmo	0.12505116182215073	0.306036376953125	0.2635581656678082	1.0	0.021733823029891304	0.5706763931467563	0.00011108398437499999	0.001143511603860294	0.24712275115536972	0.2635581656678082	0.003818511962890625	0.05763619845030738	0.328611273514597	0.00011108398437499999
brf_lso	0.007273356119791666	0.03001631067154255	0.00044791929183467743	0.021733823029891304	1.0	0.00044791929183467743	0.00011108398437499999	0.04130304509943182	0.5933736165364584	0.6463038126627604	0.5706763931467563	0.8586345102595186	0.5933736165364584	0.00011108398437499999
brf_sgso	0.7467491682185683	0.5480624112215909	0.93988037109375	0.5706763931467563	0.00044791929183467743	1.0	0.00011108398437499999	0.00011108398437499999	0.05763619845030738	0.021733823029891304	0.0014656914605034722	0.008847968522892442	0.05262124949488147	0.00011108398437499999
brf_sgso_us	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	1.0	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.06400553385416667
bxt_gmo	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.001143511603860294	0.04130304509943182	0.00011108398437499999	0.00011108398437499999	1.0	0.018997885964133522	0.04130304509943182	0.20677490234374998	0.06400553385416667	0.003818511962890625	0.00011108398437499999
bxt_gmosa	0.11478678385416667	0.07203102111816406	0.10347900390624999	0.24712275115536972	0.5933736165364584	0.05763619845030738	0.00011108398437499999	0.018997885964133522	1.0	0.6160476868411144	0.03673107219192217	0.13792928059895834	0.93988037109375	0.00011108398437499999
bxt_gso	0.03673107219192217	0.03673107219192217	0.04711151123046875	0.2635581656678082	0.6463038126627604	0.021733823029891304	0.00011108398437499999	0.04130304509943182	0.6160476868411144	1.0	0.12505116182215073	0.0024116917660361842	0.7157402487362132	0.00011108398437499999
bxt_lmo	0.0014656914605034722	0.00044791929183467743	0.0008678436279296874	0.003818511962890625	0.5706763931467563	0.0014656914605034722	0.00011108398437499999	0.20677490234374998	0.03673107219192217	0.12505116182215073	1.0	0.306036376953125	0.05763619845030738	0.00011108398437499999
bxt_lso	0.005960604039634146	0.001876418654983108	0.001143511603860294	0.05763619845030738	0.8586345102595186	0.008847968522892442	0.00011108398437499999	0.06400553385416667	0.13792928059895834	0.0024116917660361842	0.306036376953125	1.0	0.03459803263346354	0.00011108398437499999
bxt_sgso	0.03673107219192217	0.03673107219192217	0.05262124949488147	0.328611273514597	0.5933736165364584	0.05262124949488147	0.00011108398437499999	0.003818511962890625	0.93988037109375	0.7157402487362132	0.05763619845030738	0.03459803263346354	1.0	0.00011108398437499999
bxt_sgso_us	0.0003085666232638889	0.000213623046875	0.00044791929183467743	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.06400553385416667	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	0.00011108398437499999	1.0
