	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.6312587408371914	0.09600830078125	0.23728267482069673	0.6931038362434112	0.42842390730574326	0.09600830078125	0.005340576171875	0.020024349814967105	0.0321502685546875	0.06681374942555147	0.020024349814967105	0.028928120930989582	0.00069427490234375
brf_gmosa	0.6312587408371914	1.0	0.137744140625	0.7555344525505514	0.518696433619449	0.8300133599175347	0.13188500497855393	0.18626055801123903	0.020024349814967105	0.028928120930989582	0.22188555184057202	0.020024349814967105	0.0321502685546875	0.00069427490234375
brf_gso	0.09600830078125	0.137744140625	1.0	0.2573744250882056	0.045508600050403226	0.31877737334280304	0.137744140625	0.518696433619449	0.1024441189236111	0.09600830078125	0.7689094543457031	0.07537841796875	0.12398592631022134	0.00069427490234375
brf_lmo	0.23728267482069673	0.7555344525505514	0.2573744250882056	1.0	0.5341874134691456	0.979949951171875	0.1024441189236111	0.22188555184057202	0.12398592631022134	0.0950218406883446	0.3727530863747668	0.04254913330078125	0.08477867974175347	0.00069427490234375
brf_lso	0.6931038362434112	0.518696433619449	0.045508600050403226	0.5341874134691456	1.0	0.31877737334280304	0.13188500497855393	0.1024441189236111	0.012959798177083334	0.02346649169921875	0.09600830078125	0.0109100341796875	0.028928120930989582	0.00069427490234375
brf_sgso	0.42842390730574326	0.8300133599175347	0.31877737334280304	0.979949951171875	0.31877737334280304	1.0	0.12398592631022134	0.137744140625	0.045508600050403226	0.09600830078125	0.23728267482069673	0.028928120930989582	0.051897048950195306	0.00069427490234375
brf_sgso_us	0.09600830078125	0.13188500497855393	0.137744140625	0.1024441189236111	0.13188500497855393	0.12398592631022134	1.0	0.137744140625	0.42842390730574326	0.31877737334280304	0.18626055801123903	0.4192626953125	0.42842390730574326	0.6931038362434112
bxt_gmo	0.005340576171875	0.18626055801123903	0.518696433619449	0.22188555184057202	0.1024441189236111	0.137744140625	0.137744140625	1.0	0.3928187273550725	0.42842390730574326	0.7689094543457031	0.31877737334280304	0.3928187273550725	0.00069427490234375
bxt_gmosa	0.020024349814967105	0.020024349814967105	0.1024441189236111	0.12398592631022134	0.012959798177083334	0.045508600050403226	0.42842390730574326	0.3928187273550725	1.0	0.5341874134691456	0.06681374942555147	0.8300133599175347	0.7242609659830729	0.00069427490234375
bxt_gso	0.0321502685546875	0.028928120930989582	0.09600830078125	0.0950218406883446	0.02346649169921875	0.09600830078125	0.31877737334280304	0.42842390730574326	0.5341874134691456	1.0	0.045508600050403226	0.5341874134691456	0.7590412377463325	0.00069427490234375
bxt_lmo	0.06681374942555147	0.22188555184057202	0.7689094543457031	0.3727530863747668	0.09600830078125	0.23728267482069673	0.18626055801123903	0.7689094543457031	0.06681374942555147	0.045508600050403226	1.0	0.037027994791666664	0.13188500497855393	0.00069427490234375
bxt_lso	0.020024349814967105	0.020024349814967105	0.07537841796875	0.04254913330078125	0.0109100341796875	0.028928120930989582	0.4192626953125	0.31877737334280304	0.8300133599175347	0.5341874134691456	0.037027994791666664	1.0	0.6312587408371914	0.00069427490234375
bxt_sgso	0.028928120930989582	0.0321502685546875	0.12398592631022134	0.08477867974175347	0.028928120930989582	0.051897048950195306	0.42842390730574326	0.3928187273550725	0.7242609659830729	0.7590412377463325	0.13188500497855393	0.6312587408371914	1.0	0.00069427490234375
bxt_sgso_us	0.00069427490234375	0.00069427490234375	0.00069427490234375	0.00069427490234375	0.00069427490234375	0.00069427490234375	0.6931038362434112	0.00069427490234375	0.00069427490234375	0.00069427490234375	0.00069427490234375	0.00069427490234375	0.00069427490234375	1.0
