	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	6.311590021306819e-05	0.12689493815104166	6.311590021306819e-05	0.022043228149414062	0.005007884541495902	0.21661376953125	6.311590021306819e-05	0.7906402587890625	0.18556722005208334	0.7215778479415379	0.0005340576171875	0.1164860137521404	0.00011817445146276595
brf_gmosa	6.311590021306819e-05	1.0	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05
brf_gso	0.12689493815104166	6.311590021306819e-05	1.0	0.0002722646675857843	0.0002722646675857843	0.03292271710824275	0.37742106119791663	6.311590021306819e-05	0.4272212538608285	0.06492937114876761	0.12689493815104166	0.00011817445146276595	0.02862862979664522	0.0002722646675857843
brf_lmo	6.311590021306819e-05	6.311590021306819e-05	0.0002722646675857843	1.0	6.311590021306819e-05	0.007449679904513889	0.6913400129838423	0.0009771276403356482	0.00011817445146276595	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	0.002633456526131466
brf_lso	0.022043228149414062	6.311590021306819e-05	0.0002722646675857843	6.311590021306819e-05	1.0	6.311590021306819e-05	0.00613649429813508	6.311590021306819e-05	0.02862862979664522	0.4272212538608285	0.19946517944335937	0.004142114671610169	0.330542587652439	6.311590021306819e-05
brf_sgso	0.005007884541495902	6.311590021306819e-05	0.03292271710824275	0.007449679904513889	6.311590021306819e-05	1.0	0.5877236552622126	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	0.002633456526131466	6.311590021306819e-05	6.311590021306819e-05	0.0002722646675857843
brf_sgso_us	0.21661376953125	6.311590021306819e-05	0.37742106119791663	0.6913400129838423	0.00613649429813508	0.5877236552622126	1.0	0.005007884541495902	0.1164860137521404	0.037689208984375	0.025162205551609848	0.001666259765625	0.025162205551609848	6.311590021306819e-05
bxt_gmo	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	0.0009771276403356482	6.311590021306819e-05	6.311590021306819e-05	0.005007884541495902	1.0	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	0.1553348742033306
bxt_gmosa	0.7906402587890625	6.311590021306819e-05	0.4272212538608285	0.00011817445146276595	0.02862862979664522	6.311590021306819e-05	0.1164860137521404	6.311590021306819e-05	1.0	0.002633456526131466	0.37742106119791663	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05
bxt_gso	0.18556722005208334	6.311590021306819e-05	0.06492937114876761	6.311590021306819e-05	0.4272212538608285	6.311590021306819e-05	0.037689208984375	6.311590021306819e-05	0.002633456526131466	1.0	0.18556722005208334	6.311590021306819e-05	0.899932861328125	6.311590021306819e-05
bxt_lmo	0.7215778479415379	6.311590021306819e-05	0.12689493815104166	6.311590021306819e-05	0.19946517944335937	0.002633456526131466	0.025162205551609848	6.311590021306819e-05	0.37742106119791663	0.18556722005208334	1.0	0.0007335734817216981	0.19946517944335937	6.311590021306819e-05
bxt_lso	0.0005340576171875	6.311590021306819e-05	0.00011817445146276595	6.311590021306819e-05	0.004142114671610169	6.311590021306819e-05	0.001666259765625	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	0.0007335734817216981	1.0	6.311590021306819e-05	6.311590021306819e-05
bxt_sgso	0.1164860137521404	6.311590021306819e-05	0.02862862979664522	6.311590021306819e-05	0.330542587652439	6.311590021306819e-05	0.025162205551609848	6.311590021306819e-05	6.311590021306819e-05	0.899932861328125	0.19946517944335937	6.311590021306819e-05	1.0	6.311590021306819e-05
bxt_sgso_us	0.00011817445146276595	6.311590021306819e-05	0.0002722646675857843	0.002633456526131466	6.311590021306819e-05	0.0002722646675857843	6.311590021306819e-05	0.1553348742033306	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	6.311590021306819e-05	1.0
