	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.2629913330078125	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_gmosa	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.00011571248372395834	3.9672851562499995e-05	0.007527401572779605	0.08735240589488637	3.9672851562499995e-05	0.13439052919798258
brf_gso	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	0.7906402587890625	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_lmo	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	0.0041281210409628375	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_lso	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.00011571248372395834	0.0020923353221318493	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_sgso	3.9672851562499995e-05	3.9672851562499995e-05	0.7906402587890625	0.0041281210409628375	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_sgso_us	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gmo	0.2629913330078125	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gmosa	3.9672851562499995e-05	0.00011571248372395834	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	0.4749509512660015	0.5242259890534157	3.9672851562499995e-05	0.28336701569733797	0.5877236552622126
bxt_gso	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.00011571248372395834	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.4749509512660015	1.0	0.6835721476694172	3.9672851562499995e-05	0.93988037109375	0.5023905436197916
bxt_lmo	3.9672851562499995e-05	0.007527401572779605	3.9672851562499995e-05	3.9672851562499995e-05	0.0020923353221318493	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.5242259890534157	0.6835721476694172	1.0	0.007527401572779605	0.6835721476694172	0.30456654618426066
bxt_lso	3.9672851562499995e-05	0.08735240589488637	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.007527401572779605	1.0	3.9672851562499995e-05	0.13439052919798258
bxt_sgso	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.28336701569733797	0.93988037109375	0.6835721476694172	3.9672851562499995e-05	1.0	0.5242259890534157
bxt_sgso_us	3.9672851562499995e-05	0.13439052919798258	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.5877236552622126	0.5023905436197916	0.30456654618426066	0.13439052919798258	0.5242259890534157	1.0
