	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.2308646754214638	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	0.58613735292016	5.7856241861979164e-05	0.0180511474609375	0.5635429382324219	0.7960474350873161	5.7856241861979164e-05	0.9908382839626736	0.7960474350873161	5.7856241861979164e-05
brf_gmosa	0.2308646754214638	1.0	0.0026796575178179823	0.09089371964738176	5.7856241861979164e-05	0.5635429382324219	5.7856241861979164e-05	0.0013099526459316036	0.04238933987087674	0.024422140682444853	5.7856241861979164e-05	0.0022113941333912037	0.032452392578124996	5.7856241861979164e-05
brf_gso	5.7856241861979164e-05	0.0026796575178179823	1.0	0.028213722118432972	0.5480624112215909	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	0.0013099526459316036	0.00011335100446428572	0.011197982295866936	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05
brf_lmo	5.7856241861979164e-05	0.09089371964738176	0.028213722118432972	1.0	0.015380859375	0.0001666259765625	5.7856241861979164e-05	5.7856241861979164e-05	0.0076939317046618855	0.013268364800347222	0.0026796575178179823	0.0026796575178179823	0.005091349283854167	5.7856241861979164e-05
brf_lso	5.7856241861979164e-05	5.7856241861979164e-05	0.5480624112215909	0.015380859375	1.0	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	0.04238933987087674	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05
brf_sgso	0.58613735292016	0.5635429382324219	5.7856241861979164e-05	0.0001666259765625	5.7856241861979164e-05	1.0	5.7856241861979164e-05	0.004142114671610169	1.0	0.8179037159886853	5.7856241861979164e-05	0.9306123906915837	0.9908382839626736	5.7856241861979164e-05
brf_sgso_us	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	1.0	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05
bxt_gmo	0.0180511474609375	0.0013099526459316036	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	0.004142114671610169	5.7856241861979164e-05	1.0	0.015380859375	0.004142114671610169	5.7856241861979164e-05	0.024422140682444853	0.0013099526459316036	5.7856241861979164e-05
bxt_gmosa	0.5635429382324219	0.04238933987087674	0.0013099526459316036	0.0076939317046618855	5.7856241861979164e-05	1.0	5.7856241861979164e-05	0.015380859375	1.0	0.8179037159886853	5.7856241861979164e-05	0.07190025016053082	0.58613735292016	5.7856241861979164e-05
bxt_gso	0.7960474350873161	0.024422140682444853	0.00011335100446428572	0.013268364800347222	5.7856241861979164e-05	0.8179037159886853	5.7856241861979164e-05	0.004142114671610169	0.8179037159886853	1.0	5.7856241861979164e-05	0.2308646754214638	0.7960474350873161	5.7856241861979164e-05
bxt_lmo	5.7856241861979164e-05	5.7856241861979164e-05	0.011197982295866936	0.0026796575178179823	0.04238933987087674	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	1.0	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05
bxt_lso	0.9908382839626736	0.0022113941333912037	5.7856241861979164e-05	0.0026796575178179823	5.7856241861979164e-05	0.9306123906915837	5.7856241861979164e-05	0.024422140682444853	0.07190025016053082	0.2308646754214638	5.7856241861979164e-05	1.0	0.5635429382324219	5.7856241861979164e-05
bxt_sgso	0.7960474350873161	0.032452392578124996	5.7856241861979164e-05	0.005091349283854167	5.7856241861979164e-05	0.9908382839626736	5.7856241861979164e-05	0.0013099526459316036	0.58613735292016	0.7960474350873161	5.7856241861979164e-05	0.5635429382324219	1.0	5.7856241861979164e-05
bxt_sgso_us	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	5.7856241861979164e-05	1.0
