	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.00014241536458333334	8.415453361742425e-05	0.004791858149509804	0.05170306037454044	0.00869129322193287	0.41164646378482683	0.04624291622277462	0.0008099873860677083	0.0668113819067029
brf_gmosa	8.415453361742425e-05	1.0	8.415453361742425e-05	0.17225325734991775	0.01953074971183402	0.24354108979430378	0.00014241536458333334	8.415453361742425e-05	0.00031557950106534093	0.11491187843116554	0.01239776611328125	8.415453361742425e-05	0.08501892089843749	0.5721817016601562
brf_gso	8.415453361742425e-05	8.415453361742425e-05	1.0	0.00014241536458333334	0.0018328857421874999	0.157406005859375	0.00031557950106534093	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.0001983642578125	8.415453361742425e-05	8.415453361742425e-05	0.04058837890625
brf_lmo	8.415453361742425e-05	0.17225325734991775	0.00014241536458333334	1.0	0.01466503477933114	0.11491187843116554	8.415453361742425e-05	8.415453361742425e-05	0.022754300025201613	0.7467491682185683	0.10522121853298612	0.05170306037454044	1.0	0.9099321153428819
brf_lso	8.415453361742425e-05	0.01953074971183402	0.0018328857421874999	0.01466503477933114	1.0	0.8895870555530895	0.00014241536458333334	8.415453361742425e-05	0.00043199327256944443	0.01723716998922414	0.0058746337890625	8.415453361742425e-05	0.010401500355113637	0.20723655007102273
brf_sgso	0.00014241536458333334	0.24354108979430378	0.157406005859375	0.11491187843116554	0.8895870555530895	1.0	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.0001983642578125	0.0005908722573138297	0.030417919158935543
brf_sgso_us	8.415453361742425e-05	0.00014241536458333334	0.00031557950106534093	8.415453361742425e-05	0.00014241536458333334	8.415453361742425e-05	1.0	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05
bxt_gmo	0.004791858149509804	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	1.0	8.415453361742425e-05	8.415453361742425e-05	0.0014168875558035715	8.415453361742425e-05	8.415453361742425e-05	0.0001983642578125
bxt_gmosa	0.05170306037454044	0.00031557950106534093	8.415453361742425e-05	0.022754300025201613	0.00043199327256944443	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	1.0	0.030417919158935543	0.8179037159886853	0.3866264529344512	0.00014241536458333334	0.09473429935079225
bxt_gso	0.00869129322193287	0.11491187843116554	8.415453361742425e-05	0.7467491682185683	0.01723716998922414	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.030417919158935543	1.0	0.01953074971183402	0.01953074971183402	0.3121807098388672	0.6387002383961397
bxt_lmo	0.41164646378482683	0.01239776611328125	0.0001983642578125	0.10522121853298612	0.0058746337890625	8.415453361742425e-05	8.415453361742425e-05	0.0014168875558035715	0.8179037159886853	0.01953074971183402	1.0	0.3623257860725309	0.00869129322193287	0.0005908722573138297
bxt_lso	0.04624291622277462	8.415453361742425e-05	8.415453361742425e-05	0.05170306037454044	8.415453361742425e-05	0.0001983642578125	8.415453361742425e-05	8.415453361742425e-05	0.3866264529344512	0.01953074971183402	0.3623257860725309	1.0	0.00014241536458333334	0.224945068359375
bxt_sgso	0.0008099873860677083	0.08501892089843749	8.415453361742425e-05	1.0	0.010401500355113637	0.0005908722573138297	8.415453361742425e-05	8.415453361742425e-05	0.00014241536458333334	0.3121807098388672	0.00869129322193287	0.00014241536458333334	1.0	0.9099321153428819
bxt_sgso_us	0.0668113819067029	0.5721817016601562	0.04058837890625	0.9099321153428819	0.20723655007102273	0.030417919158935543	8.415453361742425e-05	0.0001983642578125	0.09473429935079225	0.6387002383961397	0.0005908722573138297	0.224945068359375	0.9099321153428819	1.0
