	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.187017822265625	0.2247494979643486	0.34749348958333337	0.7074176877043968	0.2980873801491477	0.6767955106847426	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.001507568359375
brf_gmosa	0.187017822265625	1.0	0.0022531185510023585	0.6767955106847426	0.03139914235761088	0.37149859078322783	0.24035226482234587	0.000555419921875	0.0007476806640625	0.000555419921875	0.001507568359375	0.00018513997395833333	0.0022531185510023585	0.0022531185510023585
brf_gso	0.2247494979643486	0.0022531185510023585	1.0	0.054089355468749996	0.17109348462975543	0.7689094543457031	0.8698184543185764	0.00018513997395833333	0.000396728515625	0.00029232627467105265	0.001507568359375	0.00018513997395833333	0.001507568359375	0.0022531185510023585
brf_lmo	0.34749348958333337	0.6767955106847426	0.054089355468749996	1.0	0.027678426106770834	0.4866781352478781	0.2599965688344595	0.0013406687769396553	0.0017801920572916667	0.0013406687769396553	0.0022531185510023585	0.0013406687769396553	0.0021820068359375	0.0022531185510023585
brf_lso	0.7074176877043968	0.03139914235761088	0.17109348462975543	0.027678426106770834	1.0	0.5146439715129573	0.28052408854166666	0.0022531185510023585	0.0021820068359375	0.0022531185510023585	0.0022531185510023585	0.0021820068359375	0.0022531185510023585	0.0022531185510023585
brf_sgso	0.2980873801491477	0.37149859078322783	0.7689094543457031	0.4866781352478781	0.5146439715129573	1.0	0.738165844445941	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.000396728515625	0.00018513997395833333	0.00018513997395833333
brf_sgso_us	0.6767955106847426	0.24035226482234587	0.8698184543185764	0.2599965688344595	0.28052408854166666	0.738165844445941	1.0	0.00029232627467105265	0.0017801920572916667	0.0017801920572916667	0.023911298331567795	0.24035226482234587	0.001507568359375	0.000555419921875
bxt_gmo	0.00018513997395833333	0.000555419921875	0.00018513997395833333	0.0013406687769396553	0.0022531185510023585	0.00018513997395833333	0.00029232627467105265	1.0	0.004525643807870371	0.03139914235761088	0.00029232627467105265	0.00545501708984375	0.000555419921875	0.93988037109375
bxt_gmosa	0.00018513997395833333	0.0007476806640625	0.000396728515625	0.0017801920572916667	0.0021820068359375	0.00018513997395833333	0.0017801920572916667	0.004525643807870371	1.0	0.054089355468749996	0.001507568359375	0.023911298331567795	0.06984826290246213	0.4270832061767578
bxt_gso	0.00018513997395833333	0.000555419921875	0.00029232627467105265	0.0013406687769396553	0.0022531185510023585	0.00018513997395833333	0.0017801920572916667	0.03139914235761088	0.054089355468749996	1.0	0.00029232627467105265	0.00545501708984375	0.0017801920572916667	0.7995238572024228
bxt_lmo	0.00018513997395833333	0.001507568359375	0.001507568359375	0.0022531185510023585	0.0022531185510023585	0.00018513997395833333	0.023911298331567795	0.00029232627467105265	0.001507568359375	0.00029232627467105265	1.0	0.6540906055864082	0.041876898871527776	0.023911298331567795
bxt_lso	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.0013406687769396553	0.0021820068359375	0.000396728515625	0.24035226482234587	0.00545501708984375	0.023911298331567795	0.00545501708984375	0.6540906055864082	1.0	0.2980873801491477	0.11141070197610294
bxt_sgso	0.00018513997395833333	0.0022531185510023585	0.001507568359375	0.0021820068359375	0.0022531185510023585	0.00018513997395833333	0.001507568359375	0.000555419921875	0.06984826290246213	0.0017801920572916667	0.041876898871527776	0.2980873801491477	1.0	0.1003900784165112
bxt_sgso_us	0.001507568359375	0.0022531185510023585	0.0022531185510023585	0.0022531185510023585	0.0022531185510023585	0.00018513997395833333	0.000555419921875	0.93988037109375	0.4270832061767578	0.7995238572024228	0.023911298331567795	0.11141070197610294	0.1003900784165112	1.0
