	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_gmosa	3.857082790798611e-05	1.0	0.18773193359375	3.857082790798611e-05	3.857082790798611e-05	0.008678436279296875	3.857082790798611e-05	3.857082790798611e-05	0.017204470750762195	1.0	3.857082790798611e-05	3.857082790798611e-05	0.39272018958782323	3.857082790798611e-05
brf_gso	3.857082790798611e-05	0.18773193359375	1.0	3.857082790798611e-05	3.857082790798611e-05	0.00010962235300164474	3.857082790798611e-05	3.857082790798611e-05	0.014708342375578705	0.47955460981889203	7.405598958333334e-05	3.857082790798611e-05	0.24464310047238372	3.857082790798611e-05
brf_lmo	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_lso	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_sgso	3.857082790798611e-05	0.008678436279296875	0.00010962235300164474	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	0.7906402587890625	0.0019334237786787973	7.405598958333334e-05	3.857082790798611e-05	0.0003606622869318182	3.857082790798611e-05
brf_sgso_us	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	7.405598958333334e-05
bxt_gmo	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
bxt_gmosa	3.857082790798611e-05	0.017204470750762195	0.014708342375578705	3.857082790798611e-05	3.857082790798611e-05	0.7906402587890625	3.857082790798611e-05	3.857082790798611e-05	1.0	0.08007303873697916	3.857082790798611e-05	3.857082790798611e-05	0.07170270437217621	3.857082790798611e-05
bxt_gso	3.857082790798611e-05	1.0	0.47955460981889203	3.857082790798611e-05	3.857082790798611e-05	0.0019334237786787973	3.857082790798611e-05	3.857082790798611e-05	0.08007303873697916	1.0	3.857082790798611e-05	3.857082790798611e-05	0.5400366622410464	3.857082790798611e-05
bxt_lmo	3.857082790798611e-05	3.857082790798611e-05	7.405598958333334e-05	3.857082790798611e-05	3.857082790798611e-05	7.405598958333334e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	0.0015309651692708335	3.857082790798611e-05	3.857082790798611e-05
bxt_lso	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	0.0015309651692708335	1.0	3.857082790798611e-05	3.857082790798611e-05
bxt_sgso	3.857082790798611e-05	0.39272018958782323	0.24464310047238372	3.857082790798611e-05	3.857082790798611e-05	0.0003606622869318182	3.857082790798611e-05	3.857082790798611e-05	0.07170270437217621	0.5400366622410464	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05
bxt_sgso_us	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	7.405598958333334e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0
