	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	8.678436279296875e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.624017474295079	0.11606244343083079	4.7069484904661014e-05	0.029123942057291668	0.0020923353221318493	4.7069484904661014e-05	4.7069484904661014e-05	0.004073079427083333	0.029123942057291668
brf_gmosa	8.678436279296875e-05	1.0	8.678436279296875e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.0007328457302517361	0.0002012391021286232	4.7069484904661014e-05	4.7069484904661014e-05	8.678436279296875e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.00012623180042613637	0.0002012391021286232
brf_gso	4.7069484904661014e-05	8.678436279296875e-05	1.0	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05
brf_lmo	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	1.0	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.09352997202932099	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05
brf_lso	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	1.0	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.5367075602213541	4.7069484904661014e-05	4.7069484904661014e-05
brf_sgso	0.624017474295079	0.0007328457302517361	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	1.0	4.7069484904661014e-05	4.7069484904661014e-05	0.006175392552425987	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.00012623180042613637	8.678436279296875e-05
brf_sgso_us	0.11606244343083079	0.0002012391021286232	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	1.0	4.7069484904661014e-05	0.6835721476694172	0.038633322413963604	4.7069484904661014e-05	4.7069484904661014e-05	0.08407669067382813	0.0007328457302517361
bxt_gmo	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.09352997202932099	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	1.0	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05
bxt_gmosa	0.029123942057291668	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.006175392552425987	0.6835721476694172	4.7069484904661014e-05	1.0	0.7518225775824653	0.000396728515625	4.7069484904661014e-05	0.860260009765625	0.5654501522288603
bxt_gso	0.0020923353221318493	8.678436279296875e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.038633322413963604	4.7069484904661014e-05	0.7518225775824653	1.0	8.678436279296875e-05	4.7069484904661014e-05	0.6537229364568536	0.624017474295079
bxt_lmo	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.000396728515625	8.678436279296875e-05	1.0	4.7069484904661014e-05	0.0002012391021286232	0.0026269861169763513
bxt_lso	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.5367075602213541	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	1.0	4.7069484904661014e-05	4.7069484904661014e-05
bxt_sgso	0.004073079427083333	0.00012623180042613637	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	0.00012623180042613637	0.08407669067382813	4.7069484904661014e-05	0.860260009765625	0.6537229364568536	0.0002012391021286232	4.7069484904661014e-05	1.0	0.3819683028990964
bxt_sgso_us	0.029123942057291668	0.0002012391021286232	4.7069484904661014e-05	4.7069484904661014e-05	4.7069484904661014e-05	8.678436279296875e-05	0.0007328457302517361	4.7069484904661014e-05	0.5654501522288603	0.624017474295079	0.0026269861169763513	4.7069484904661014e-05	0.3819683028990964	1.0
