	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	0.3011610243055555	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
brf_gmosa	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
brf_gso	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
brf_lmo	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
brf_lso	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	0.0017556376840876435	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
brf_sgso	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
brf_sgso_us	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
bxt_gmo	0.3011610243055555	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
bxt_gmosa	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	0.005273368921172753	3.229185592296512e-05	3.229185592296512e-05	0.005273368921172753	3.229185592296512e-05
bxt_gso	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	0.005273368921172753	1.0	3.229185592296512e-05	3.229185592296512e-05	0.4637451171875	3.229185592296512e-05
bxt_lmo	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	0.0017556376840876435	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05
bxt_lso	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05	3.229185592296512e-05
bxt_sgso	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	0.005273368921172753	0.4637451171875	3.229185592296512e-05	3.229185592296512e-05	1.0	3.229185592296512e-05
bxt_sgso_us	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	3.229185592296512e-05	1.0
