	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	7.120768229166667e-05	7.120768229166667e-05	0.00015428331163194444	7.120768229166667e-05	7.120768229166667e-05	0.000555419921875	0.979949951171875	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	0.001613720043285473
brf_gmosa	7.120768229166667e-05	1.0	0.00015428331163194444	7.120768229166667e-05	7.120768229166667e-05	0.00013224283854166666	0.00015428331163194444	7.120768229166667e-05	7.120768229166667e-05	0.00015428331163194444	7.120768229166667e-05	0.19700264636381173	0.000247955322265625	0.000414492479011194
brf_gso	7.120768229166667e-05	0.00015428331163194444	1.0	7.120768229166667e-05	0.004073079427083333	0.8300133599175347	0.00015428331163194444	7.120768229166667e-05	0.30456654618426066	0.6537229364568536	7.120768229166667e-05	7.120768229166667e-05	0.7602700222744031	0.000414492479011194
brf_lmo	0.00015428331163194444	7.120768229166667e-05	7.120768229166667e-05	1.0	7.120768229166667e-05	7.120768229166667e-05	0.000414492479011194	0.000414492479011194	7.120768229166667e-05	7.120768229166667e-05	0.000414492479011194	0.00013224283854166666	7.120768229166667e-05	0.0007431675011003521
brf_lso	7.120768229166667e-05	7.120768229166667e-05	0.004073079427083333	7.120768229166667e-05	1.0	0.007527401572779605	0.00015428331163194444	7.120768229166667e-05	0.000247955322265625	0.0128173828125	7.120768229166667e-05	0.009016557173295454	0.02875528456289557	0.000414492479011194
brf_sgso	7.120768229166667e-05	0.00013224283854166666	0.8300133599175347	7.120768229166667e-05	0.007527401572779605	1.0	0.00015428331163194444	7.120768229166667e-05	0.18092803955078127	0.40674591064453125	7.120768229166667e-05	7.120768229166667e-05	0.6312734914380451	0.000414492479011194
brf_sgso_us	0.000555419921875	0.00015428331163194444	0.00015428331163194444	0.000414492479011194	0.00015428331163194444	0.00015428331163194444	1.0	0.000555419921875	0.00015428331163194444	0.00015428331163194444	0.00015428331163194444	0.00015428331163194444	0.00015428331163194444	0.0009510615100599315
bxt_gmo	0.979949951171875	7.120768229166667e-05	7.120768229166667e-05	0.000414492479011194	7.120768229166667e-05	7.120768229166667e-05	0.000555419921875	1.0	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	0.0009510615100599315
bxt_gmosa	7.120768229166667e-05	7.120768229166667e-05	0.30456654618426066	7.120768229166667e-05	0.000247955322265625	0.18092803955078127	0.00015428331163194444	7.120768229166667e-05	1.0	0.5303933536305147	7.120768229166667e-05	7.120768229166667e-05	0.3819683028990964	0.000414492479011194
bxt_gso	7.120768229166667e-05	0.00015428331163194444	0.6537229364568536	7.120768229166667e-05	0.0128173828125	0.40674591064453125	0.00015428331163194444	7.120768229166667e-05	0.5303933536305147	1.0	7.120768229166667e-05	7.120768229166667e-05	0.6537229364568536	0.000414492479011194
bxt_lmo	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	0.000414492479011194	7.120768229166667e-05	7.120768229166667e-05	0.00015428331163194444	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	1.0	0.00013224283854166666	7.120768229166667e-05	0.000555419921875
bxt_lso	7.120768229166667e-05	0.19700264636381173	7.120768229166667e-05	0.00013224283854166666	0.009016557173295454	7.120768229166667e-05	0.00015428331163194444	7.120768229166667e-05	7.120768229166667e-05	7.120768229166667e-05	0.00013224283854166666	1.0	7.120768229166667e-05	0.000414492479011194
bxt_sgso	7.120768229166667e-05	0.000247955322265625	0.7602700222744031	7.120768229166667e-05	0.02875528456289557	0.6312734914380451	0.00015428331163194444	7.120768229166667e-05	0.3819683028990964	0.6537229364568536	7.120768229166667e-05	7.120768229166667e-05	1.0	0.000414492479011194
bxt_sgso_us	0.001613720043285473	0.000414492479011194	0.000414492479011194	0.0007431675011003521	0.000414492479011194	0.000414492479011194	0.0009510615100599315	0.0009510615100599315	0.000414492479011194	0.000414492479011194	0.000555419921875	0.000414492479011194	0.000414492479011194	1.0
