	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.7995238572024228	0.21285651711856618	0.6261588202582465	0.7995238572024228	0.092989444732666	0.6848526000976562	0.00020320241044207316	8.415453361742425e-05	8.415453361742425e-05	0.002341476141237745	8.415453361742425e-05	8.415453361742425e-05	0.00013885498046875
brf_gmosa	0.7995238572024228	1.0	0.6584008621842894	0.19539175460587685	0.25428572944972827	0.699286449914691	0.6848526000976562	0.004443359375000001	8.415453361742425e-05	8.415453361742425e-05	0.0018702915736607145	8.415453361742425e-05	0.00013885498046875	8.415453361742425e-05
brf_gso	0.21285651711856618	0.6584008621842894	1.0	0.009696313890360169	0.009696313890360169	0.699286449914691	0.6848526000976562	0.0004628499348958333	8.415453361742425e-05	8.415453361742425e-05	0.0011470628821331522	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05
brf_lmo	0.6261588202582465	0.19539175460587685	0.009696313890360169	1.0	0.3005615234375	0.00013885498046875	0.6848526000976562	0.00013885498046875	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05
brf_lso	0.7995238572024228	0.25428572944972827	0.009696313890360169	0.3005615234375	1.0	0.05003331919185451	0.6848526000976562	0.00013885498046875	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05
brf_sgso	0.092989444732666	0.699286449914691	0.699286449914691	0.00013885498046875	0.05003331919185451	1.0	0.6848526000976562	0.008233856736567983	8.415453361742425e-05	8.415453361742425e-05	0.008233856736567983	0.00013885498046875	8.415453361742425e-05	8.415453361742425e-05
brf_sgso_us	0.6848526000976562	0.6848526000976562	0.6848526000976562	0.6848526000976562	0.6848526000976562	0.6848526000976562	1.0	0.6848526000976562	0.6848526000976562	0.6848526000976562	0.6848526000976562	0.699286449914691	0.6848526000976562	0.8698184543185764
bxt_gmo	0.00020320241044207316	0.004443359375000001	0.0004628499348958333	0.00013885498046875	0.00013885498046875	0.008233856736567983	0.6848526000976562	1.0	8.415453361742425e-05	0.043970743815104164	0.5943775445642605	0.0018702915736607145	0.05670658234627016	0.0008639865451388889
bxt_gmosa	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.6848526000976562	8.415453361742425e-05	1.0	0.06400553385416667	0.00013885498046875	0.979949951171875	0.004443359375000001	0.004443359375000001
bxt_gso	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.6848526000976562	0.043970743815104164	0.06400553385416667	1.0	8.415453361742425e-05	0.17887046120383523	0.15251722020796055	0.002341476141237745
bxt_lmo	0.002341476141237745	0.0018702915736607145	0.0011470628821331522	8.415453361742425e-05	8.415453361742425e-05	0.008233856736567983	0.6848526000976562	0.5943775445642605	0.00013885498046875	8.415453361742425e-05	1.0	8.415453361742425e-05	0.0006458371184593024	8.415453361742425e-05
bxt_lso	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.00013885498046875	0.699286449914691	0.0018702915736607145	0.979949951171875	0.17887046120383523	8.415453361742425e-05	1.0	0.0014771806432845743	0.00293731689453125
bxt_sgso	8.415453361742425e-05	0.00013885498046875	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.6848526000976562	0.05670658234627016	0.004443359375000001	0.15251722020796055	0.0006458371184593024	0.0014771806432845743	1.0	0.0008639865451388889
bxt_sgso_us	0.00013885498046875	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	8.415453361742425e-05	0.8698184543185764	0.0008639865451388889	0.004443359375000001	0.002341476141237745	8.415453361742425e-05	0.00293731689453125	0.0008639865451388889	1.0
