	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.1586186726888021	0.06633600198997641	0.008847968522892442	0.17404675092853486	0.2922125922309028	0.00018513997395833333	0.003061930338541667	0.012712944878472222	0.0746731228298611	0.01509293265964674	0.2922125922309028	0.49899910069719144	0.3566380550986842
brf_gmosa	0.1586186726888021	1.0	0.9908382839626736	0.0009576205549568966	0.0002777099609375	0.25428572944972827	0.00018513997395833333	0.0012541740171370967	0.00018513997395833333	0.0012541740171370967	0.471038818359375	1.0	0.00069427490234375	0.0389349365234375
brf_gso	0.06633600198997641	0.9908382839626736	1.0	0.0015989361387310607	0.0002777099609375	0.25428572944972827	0.00018513997395833333	0.0015989361387310607	0.00037869540127840907	0.0024768726245777027	0.8998121941226652	0.8471145629882812	0.00069427490234375	0.0389349365234375
brf_lmo	0.008847968522892442	0.0009576205549568966	0.0015989361387310607	1.0	0.9610012783093399	0.007273356119791666	0.00018513997395833333	0.12010955810546875	0.1082058993252841	0.8998121941226652	0.00018513997395833333	0.025348419838763295	0.44372281161221594	0.5933736165364584
brf_lso	0.17404675092853486	0.0002777099609375	0.0002777099609375	0.9610012783093399	1.0	0.000555419921875	0.00018513997395833333	0.23816737843983207	0.5635429382324219	0.6540906055864082	0.00037869540127840907	0.002041985006893382	0.3329927571614584	0.3329927571614584
brf_sgso	0.2922125922309028	0.25428572944972827	0.25428572944972827	0.007273356119791666	0.000555419921875	1.0	0.00018513997395833333	0.0024768726245777027	0.000555419921875	0.012712944878472222	0.14661170696390088	0.6235604635099086	0.13291101288377194	0.06633600198997641
brf_sgso_us	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	1.0	0.00018513997395833333	0.00018513997395833333	0.00018513997395833333	0.0061096191406250005	0.00018513997395833333	0.00018513997395833333	0.0002777099609375
bxt_gmo	0.003061930338541667	0.0012541740171370967	0.0015989361387310607	0.12010955810546875	0.23816737843983207	0.0024768726245777027	0.00018513997395833333	1.0	0.8788376752068014	0.181622314453125	0.0002777099609375	0.007273356119791666	0.181622314453125	0.23816737843983207
bxt_gmosa	0.012712944878472222	0.00018513997395833333	0.00037869540127840907	0.1082058993252841	0.5635429382324219	0.000555419921875	0.00018513997395833333	0.8788376752068014	1.0	0.1586186726888021	0.00018513997395833333	0.000555419921875	0.05173028684129902	0.029390970865885414
bxt_gso	0.0746731228298611	0.0012541740171370967	0.0024768726245777027	0.8998121941226652	0.6540906055864082	0.012712944878472222	0.00018513997395833333	0.181622314453125	0.1586186726888021	1.0	0.0002777099609375	0.0024768726245777027	0.3144209352258133	0.2922125922309028
bxt_lmo	0.01509293265964674	0.471038818359375	0.8998121941226652	0.00018513997395833333	0.00037869540127840907	0.14661170696390088	0.0061096191406250005	0.0002777099609375	0.00018513997395833333	0.0002777099609375	1.0	0.181622314453125	0.00018513997395833333	0.00069427490234375
bxt_lso	0.2922125922309028	1.0	0.8471145629882812	0.025348419838763295	0.002041985006893382	0.6235604635099086	0.00018513997395833333	0.007273356119791666	0.000555419921875	0.0024768726245777027	0.181622314453125	1.0	0.003061930338541667	0.181622314453125
bxt_sgso	0.49899910069719144	0.00069427490234375	0.00069427490234375	0.44372281161221594	0.3329927571614584	0.13291101288377194	0.00018513997395833333	0.181622314453125	0.05173028684129902	0.3144209352258133	0.00018513997395833333	0.003061930338541667	1.0	0.9610012783093399
bxt_sgso_us	0.3566380550986842	0.0389349365234375	0.0389349365234375	0.5933736165364584	0.3329927571614584	0.06633600198997641	0.0002777099609375	0.23816737843983207	0.029390970865885414	0.2922125922309028	0.00069427490234375	0.181622314453125	0.9610012783093399	1.0
