	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.1493462456597222	0.303338623046875	0.7471119273792614	0.8788376752068014	0.1345257961533401	0.3905754330512754	0.006479899088541666	0.7238602701822917	0.8788376752068014	0.9201560716950492	0.3717884361368966	0.20521808492726296	0.3969680498231132
brf_gmosa	0.1493462456597222	1.0	0.33643799253516277	0.09768856272977941	0.1493462456597222	0.3905754330512754	0.9278275000610866	0.014130689282960223	0.020417417469265075	0.09768856272977941	0.09768856272977941	0.31929872094131095	0.14063232421875	0.35373287843717016
brf_gso	0.303338623046875	0.33643799253516277	1.0	0.31929872094131095	0.41174554617439885	0.7245215806225671	0.7486034810387754	0.042273627387152776	0.12540589351753972	0.30041270647022533	0.244384765625	0.979949951171875	0.8727088747031939	0.31929872094131095
brf_lmo	0.7471119273792614	0.09768856272977941	0.31929872094131095	1.0	0.8727088747031939	0.31929872094131095	0.5250831900343269	0.09088689630681818	0.3969680498231132	0.8895870555530895	0.8895870555530895	0.4173223322088068	0.5479856327239374	0.31929872094131095
brf_lso	0.8788376752068014	0.1493462456597222	0.41174554617439885	0.8727088747031939	1.0	0.6038630051531496	0.6098470981660904	0.22420450846354167	0.6578134377783514	0.8159693305773075	0.8895870555530895	0.4381483646861294	0.5250831900343269	0.6098470981660904
brf_sgso	0.1345257961533401	0.3905754330512754	0.7245215806225671	0.31929872094131095	0.6038630051531496	1.0	0.6038630051531496	0.002777099609375	0.1345257961533401	0.2500668828110931	0.31929872094131095	0.7822725028562818	0.6578134377783514	0.09768856272977941
brf_sgso_us	0.3905754330512754	0.9278275000610866	0.7486034810387754	0.5250831900343269	0.6098470981660904	0.6038630051531496	1.0	0.09768856272977941	0.35373287843717016	0.5250831900343269	0.5479856327239374	0.6038630051531496	0.642700280356672	0.03074953332800364
bxt_gmo	0.006479899088541666	0.014130689282960223	0.042273627387152776	0.09088689630681818	0.22420450846354167	0.002777099609375	0.09768856272977941	1.0	0.1319122314453125	0.14063232421875	0.10815260145399307	0.03074953332800364	0.006479899088541666	0.4673188308189655
bxt_gmosa	0.7238602701822917	0.020417417469265075	0.12540589351753972	0.3969680498231132	0.6578134377783514	0.1345257961533401	0.35373287843717016	0.1319122314453125	1.0	0.1345257961533401	0.20368201057412796	0.09768856272977941	0.014130689282960223	0.6098470981660904
bxt_gso	0.8788376752068014	0.09768856272977941	0.30041270647022533	0.8895870555530895	0.8159693305773075	0.2500668828110931	0.5250831900343269	0.14063232421875	0.1345257961533401	1.0	0.33643799253516277	0.6098470981660904	0.09088689630681818	0.4381483646861294
bxt_lmo	0.9201560716950492	0.09768856272977941	0.244384765625	0.8895870555530895	0.8895870555530895	0.31929872094131095	0.5479856327239374	0.10815260145399307	0.20368201057412796	0.33643799253516277	1.0	0.6578134377783514	0.3717884361368966	0.3969680498231132
bxt_lso	0.3717884361368966	0.31929872094131095	0.979949951171875	0.4173223322088068	0.4381483646861294	0.7822725028562818	0.6038630051531496	0.03074953332800364	0.09768856272977941	0.6098470981660904	0.6578134377783514	1.0	0.8727088747031939	0.33643799253516277
bxt_sgso	0.20521808492726296	0.14063232421875	0.8727088747031939	0.5479856327239374	0.5250831900343269	0.6578134377783514	0.642700280356672	0.006479899088541666	0.014130689282960223	0.09088689630681818	0.3717884361368966	0.8727088747031939	1.0	0.303338623046875
bxt_sgso_us	0.3969680498231132	0.35373287843717016	0.31929872094131095	0.31929872094131095	0.6098470981660904	0.09768856272977941	0.03074953332800364	0.4673188308189655	0.6098470981660904	0.4381483646861294	0.3969680498231132	0.33643799253516277	0.303338623046875	1.0
