	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.0009256998697916666	0.0001735687255859375	0.0069427490234375	0.00024148692255434784	0.00024148692255434784	0.608395733410799	0.0001735687255859375	0.00024148692255434784	0.00024148692255434784	0.000333251953125	0.0001735687255859375	0.0001735687255859375	0.2580252254710478
brf_gmosa	0.0009256998697916666	1.0	0.0014656914605034722	0.5256123860677083	0.0029125678830030487	0.0014656914605034722	0.2580252254710478	0.002349853515625	0.039729527064732144	0.001143511603860294	0.8998121941226652	0.0001735687255859375	0.04454249961703431	0.0001735687255859375
brf_gso	0.0001735687255859375	0.0014656914605034722	1.0	0.1044092011033443	0.0507354736328125	0.0746731228298611	0.9908382839626736	0.49650037610853043	0.001143511603860294	0.14870500564575195	0.001143511603860294	0.0001735687255859375	0.001876418654983108	0.608395733410799
brf_lmo	0.0069427490234375	0.5256123860677083	0.1044092011033443	1.0	0.14870500564575195	0.12626546223958335	0.2788368999094203	0.1394012951460041	0.002349853515625	0.12626546223958335	0.7510854462046682	0.00024148692255434784	0.14870500564575195	0.010429551866319444
brf_lso	0.00024148692255434784	0.0029125678830030487	0.0507354736328125	0.14870500564575195	1.0	0.03533416098736702	0.783175956912157	0.06633600198997641	0.00024148692255434784	0.039729527064732144	0.0029125678830030487	0.0001735687255859375	0.5480624112215909	0.3278961181640625
brf_sgso	0.00024148692255434784	0.0014656914605034722	0.0746731228298611	0.12626546223958335	0.03533416098736702	1.0	0.9610012783093399	0.4745368957519531	0.00024148692255434784	0.49650037610853043	0.0009256998697916666	0.0001735687255859375	0.005683366642441861	0.8788376752068014
brf_sgso_us	0.608395733410799	0.2580252254710478	0.9908382839626736	0.2788368999094203	0.783175956912157	0.9610012783093399	1.0	1.0	0.1044092011033443	0.8998121941226652	0.2580252254710478	0.4133575869278169	0.8152293009930347	0.8471145629882812
bxt_gmo	0.0001735687255859375	0.002349853515625	0.49650037610853043	0.1394012951460041	0.06633600198997641	0.4745368957519531	1.0	1.0	0.001143511603860294	0.12626546223958335	0.0009256998697916666	0.0001735687255859375	0.0001735687255859375	0.6786190032958984
bxt_gmosa	0.00024148692255434784	0.039729527064732144	0.001143511603860294	0.002349853515625	0.00024148692255434784	0.00024148692255434784	0.1044092011033443	0.001143511603860294	1.0	0.000333251953125	0.163336181640625	0.0001735687255859375	0.04454249961703431	0.0001735687255859375
bxt_gso	0.00024148692255434784	0.001143511603860294	0.14870500564575195	0.12626546223958335	0.039729527064732144	0.49650037610853043	0.8998121941226652	0.12626546223958335	0.000333251953125	1.0	0.0009256998697916666	0.0001735687255859375	0.0005340576171875	0.9306123906915837
bxt_lmo	0.000333251953125	0.8998121941226652	0.001143511603860294	0.7510854462046682	0.0029125678830030487	0.0009256998697916666	0.2580252254710478	0.0009256998697916666	0.163336181640625	0.0009256998697916666	1.0	0.0001735687255859375	0.012436576511548914	0.005683366642441861
bxt_lso	0.0001735687255859375	0.0001735687255859375	0.0001735687255859375	0.00024148692255434784	0.0001735687255859375	0.0001735687255859375	0.4133575869278169	0.0001735687255859375	0.0001735687255859375	0.0001735687255859375	0.0001735687255859375	1.0	0.0001735687255859375	0.1044092011033443
bxt_sgso	0.0001735687255859375	0.04454249961703431	0.001876418654983108	0.14870500564575195	0.5480624112215909	0.005683366642441861	0.8152293009930347	0.0001735687255859375	0.04454249961703431	0.0005340576171875	0.012436576511548914	0.0001735687255859375	1.0	0.5480624112215909
bxt_sgso_us	0.2580252254710478	0.0001735687255859375	0.608395733410799	0.010429551866319444	0.3278961181640625	0.8788376752068014	0.8471145629882812	0.6786190032958984	0.0001735687255859375	0.9306123906915837	0.005683366642441861	0.1044092011033443	0.5480624112215909	1.0
