	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.5060067012392242	0.9122772216796875	0.8691131591796875	0.8691131591796875	0.03617350260416667	1.0	0.0004628499348958333	0.5060067012392242	0.0006171332465277778	0.0004628499348958333	0.0041656494140625	0.0009918212890625	0.8691131591796875
brf_gmosa	0.5060067012392242	1.0	0.2953927176339286	0.002777099609375	1.0	0.0008331298828125	0.8225684888435133	0.033093770345052086	0.015644327799479166	0.015644327799479166	0.0009918212890625	0.009051287615740741	0.02239596459173387	0.4330703447449882
brf_gso	0.9122772216796875	0.2953927176339286	1.0	0.6918164862961066	0.6918164862961066	0.0041656494140625	0.9634575338924632	0.0006171332465277778	0.18092508518949466	0.0009918212890625	0.0004628499348958333	0.0004628499348958333	0.0041656494140625	0.7989368438720702
brf_lmo	0.8691131591796875	0.002777099609375	0.6918164862961066	1.0	0.006640890370244566	0.03617350260416667	0.9634575338924632	0.10720896166424419	0.9222370665750387	0.16469408118206522	0.002287023207720588	0.319144287109375	0.16469408118206522	0.762908935546875
brf_lso	0.8691131591796875	1.0	0.6918164862961066	0.006640890370244566	1.0	0.002287023207720588	0.8586211702716884	0.025330514618844696	0.1982733408610026	0.015644327799479166	0.002777099609375	0.03617350260416667	0.025330514618844696	0.40460205078125
brf_sgso	0.03617350260416667	0.0008331298828125	0.0041656494140625	0.03617350260416667	0.002287023207720588	1.0	0.8225684888435133	0.9021870930989584	0.008099873860677084	0.9634575338924632	0.009051287615740741	0.37724992340686275	0.7271521783644153	0.9222370665750387
brf_sgso_us	1.0	0.8225684888435133	0.9634575338924632	0.9634575338924632	0.8586211702716884	0.8225684888435133	1.0	0.9021870930989584	1.0	0.8919503953721789	0.5060067012392242	0.9222370665750387	0.9122772216796875	0.9122772216796875
bxt_gmo	0.0004628499348958333	0.033093770345052086	0.0006171332465277778	0.10720896166424419	0.025330514618844696	0.9021870930989584	0.9021870930989584	1.0	0.028564453125	0.98309326171875	0.0009918212890625	0.09600830078125	0.5060067012392242	0.9634575338924632
bxt_gmosa	0.5060067012392242	0.015644327799479166	0.18092508518949466	0.9222370665750387	0.1982733408610026	0.008099873860677084	1.0	0.028564453125	1.0	0.009051287615740741	0.0006171332465277778	0.09600830078125	0.028564453125	0.8919503953721789
bxt_gso	0.0006171332465277778	0.015644327799479166	0.0009918212890625	0.16469408118206522	0.015644327799479166	0.9634575338924632	0.8919503953721789	0.98309326171875	0.009051287615740741	1.0	0.0004628499348958333	0.11928905140269887	0.6227292852886652	0.9021870930989584
bxt_lmo	0.0004628499348958333	0.0009918212890625	0.0004628499348958333	0.002287023207720588	0.002777099609375	0.009051287615740741	0.5060067012392242	0.0009918212890625	0.0006171332465277778	0.0004628499348958333	1.0	0.0018513997395833333	0.0004628499348958333	0.46248994050202547
bxt_lso	0.0041656494140625	0.009051287615740741	0.0004628499348958333	0.319144287109375	0.03617350260416667	0.37724992340686275	0.9222370665750387	0.09600830078125	0.09600830078125	0.11928905140269887	0.0018513997395833333	1.0	0.08789520263671875	1.0
bxt_sgso	0.0009918212890625	0.02239596459173387	0.0041656494140625	0.16469408118206522	0.025330514618844696	0.7271521783644153	0.9122772216796875	0.5060067012392242	0.028564453125	0.6227292852886652	0.0004628499348958333	0.08789520263671875	1.0	0.98309326171875
bxt_sgso_us	0.8691131591796875	0.4330703447449882	0.7989368438720702	0.762908935546875	0.40460205078125	0.9222370665750387	0.9122772216796875	0.9634575338924632	0.8919503953721789	0.9021870930989584	0.46248994050202547	1.0	0.98309326171875	1.0
