	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	8.678436279296875e-05	0.0004083970013786765	4.9591064453125e-05	4.9591064453125e-05	8.678436279296875e-05	0.015675996479235198	0.018321644176136364	0.21397213819550304	0.0021820068359375	4.9591064453125e-05
brf_gmosa	4.9591064453125e-05	1.0	4.9591064453125e-05	0.743560791015625	0.006342295053842905	8.678436279296875e-05	4.9591064453125e-05	4.9591064453125e-05	0.002662972228167808	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
brf_gso	4.9591064453125e-05	4.9591064453125e-05	1.0	0.015675996479235198	0.10498122227044754	0.34126033339389533	4.9591064453125e-05	4.9591064453125e-05	0.5461734424937855	4.9591064453125e-05	0.0004083970013786765	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
brf_lmo	4.9591064453125e-05	0.743560791015625	0.015675996479235198	1.0	0.03382364908854167	0.39272018958782323	4.9591064453125e-05	4.9591064453125e-05	0.2700320973115809	4.9591064453125e-05	0.0004083970013786765	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
brf_lso	8.678436279296875e-05	0.006342295053842905	0.10498122227044754	0.03382364908854167	1.0	0.5681328667534722	4.9591064453125e-05	4.9591064453125e-05	0.2700320973115809	4.9591064453125e-05	0.002662972228167808	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
brf_sgso	0.0004083970013786765	8.678436279296875e-05	0.34126033339389533	0.39272018958782323	0.5681328667534722	1.0	4.9591064453125e-05	4.9591064453125e-05	0.5681328667534722	4.9591064453125e-05	0.001006195510643116	4.9591064453125e-05	8.678436279296875e-05	4.9591064453125e-05
brf_sgso_us	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0	8.678436279296875e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.002662972228167808
bxt_gmo	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	8.678436279296875e-05	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.000213623046875
bxt_gmosa	8.678436279296875e-05	0.002662972228167808	0.5461734424937855	0.2700320973115809	0.2700320973115809	0.5681328667534722	4.9591064453125e-05	4.9591064453125e-05	1.0	4.9591064453125e-05	8.678436279296875e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
bxt_gso	0.015675996479235198	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0	4.9591064453125e-05	0.08407669067382813	0.2700320973115809	4.9591064453125e-05
bxt_lmo	0.018321644176136364	4.9591064453125e-05	0.0004083970013786765	0.0004083970013786765	0.002662972228167808	0.001006195510643116	4.9591064453125e-05	4.9591064453125e-05	8.678436279296875e-05	4.9591064453125e-05	1.0	8.678436279296875e-05	8.678436279296875e-05	4.9591064453125e-05
bxt_lso	0.21397213819550304	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.08407669067382813	8.678436279296875e-05	1.0	0.07533322104924842	4.9591064453125e-05
bxt_sgso	0.0021820068359375	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	8.678436279296875e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.2700320973115809	8.678436279296875e-05	0.07533322104924842	1.0	4.9591064453125e-05
bxt_sgso_us	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.002662972228167808	0.000213623046875	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0
