	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.28666834677419356	0.6817208904109588	0.021543560606060608	0.8756610134182967	0.8549248417721519	0.8756610134182967	0.021543560606060608	0.22513020833333333	0.6817208904109588	0.8549248417721519	0.0691055938431745	0.6817208904109588	0.6817208904109588
brf_gmosa	0.28666834677419356	1.0	1.0	0.021543560606060608	0.04739583333333333	0.7772916666666667	0.9140625	0.021543560606060608	0.8549248417721519	0.9665554775280899	0.0691055938431745	0.021543560606060608	0.9140625	0.04739583333333333
brf_gso	0.6817208904109588	1.0	1.0	0.021543560606060608	0.036458333333333336	0.6260494402985074	0.9665554775280899	0.021543560606060608	0.35546875	0.9140625	0.04739583333333333	0.036458333333333336	0.6817208904109588	0.021543560606060608
brf_lmo	0.021543560606060608	0.021543560606060608	0.021543560606060608	1.0	0.021543560606060608	0.021543560606060608	0.06969975490196079	0.021543560606060608	0.036458333333333336	0.021543560606060608	0.036458333333333336	0.021543560606060608	0.021543560606060608	0.06969975490196079
brf_lso	0.8756610134182967	0.04739583333333333	0.036458333333333336	0.021543560606060608	1.0	0.5359375	0.5526377183916218	0.021543560606060608	0.1316550925925926	0.17461622807017543	0.22513020833333333	0.021543560606060608	0.06969975490196079	0.06969975490196079
brf_sgso	0.8549248417721519	0.7772916666666667	0.6260494402985074	0.021543560606060608	0.5359375	1.0	0.7772916666666667	0.021543560606060608	0.22513020833333333	0.17461622807017543	0.021543560606060608	0.021543560606060608	0.04739583333333333	0.021543560606060608
brf_sgso_us	0.8756610134182967	0.9140625	0.9665554775280899	0.06969975490196079	0.5526377183916218	0.7772916666666667	1.0	0.036458333333333336	0.951365239311126	1.0	0.28666834677419356	0.09389740566037735	0.9665554775280899	0.17461622807017543
bxt_gmo	0.021543560606060608	0.021543560606060608	0.021543560606060608	0.021543560606060608	0.021543560606060608	0.021543560606060608	0.036458333333333336	1.0	0.036458333333333336	0.021543560606060608	0.021543560606060608	0.021543560606060608	0.021543560606060608	0.021543560606060608
bxt_gmosa	0.22513020833333333	0.8549248417721519	0.35546875	0.036458333333333336	0.1316550925925926	0.22513020833333333	0.951365239311126	0.036458333333333336	1.0	0.9665554775280899	0.09389740566037735	0.03933538834886173	0.6817208904109588	0.04739583333333333
bxt_gso	0.6817208904109588	0.9665554775280899	0.9140625	0.021543560606060608	0.17461622807017543	0.17461622807017543	1.0	0.021543560606060608	0.9665554775280899	1.0	0.021543560606060608	0.021543560606060608	0.8549248417721519	0.021543560606060608
bxt_lmo	0.8549248417721519	0.0691055938431745	0.04739583333333333	0.036458333333333336	0.22513020833333333	0.021543560606060608	0.28666834677419356	0.021543560606060608	0.09389740566037735	0.021543560606060608	1.0	0.021543560606060608	0.021543560606060608	0.29903032931757717
bxt_lso	0.0691055938431745	0.021543560606060608	0.036458333333333336	0.021543560606060608	0.021543560606060608	0.021543560606060608	0.09389740566037735	0.021543560606060608	0.03933538834886173	0.021543560606060608	0.021543560606060608	1.0	0.021543560606060608	0.021543560606060608
bxt_sgso	0.6817208904109588	0.9140625	0.6817208904109588	0.021543560606060608	0.06969975490196079	0.04739583333333333	0.9665554775280899	0.021543560606060608	0.6817208904109588	0.8549248417721519	0.021543560606060608	0.021543560606060608	1.0	0.021543560606060608
bxt_sgso_us	0.6817208904109588	0.04739583333333333	0.021543560606060608	0.06969975490196079	0.06969975490196079	0.021543560606060608	0.17461622807017543	0.021543560606060608	0.04739583333333333	0.021543560606060608	0.29903032931757717	0.021543560606060608	0.021543560606060608	1.0
