	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.0001983642578125	0.8488772999156605	0.738165844445941	0.5654501522288603	0.08407669067382813	4.3392181396484375e-05	0.005072835286458334	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
brf_gmosa	0.0001983642578125	1.0	4.3392181396484375e-05	4.3392181396484375e-05	8.28984958022388e-05	0.0001983642578125	4.3392181396484375e-05	0.0003911407900528169	4.3392181396484375e-05	4.3392181396484375e-05	8.28984958022388e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
brf_gso	0.8488772999156605	4.3392181396484375e-05	1.0	0.5654501522288603	0.08407669067382813	0.11749531310281637	4.3392181396484375e-05	0.0001983642578125	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
brf_lmo	0.738165844445941	4.3392181396484375e-05	0.5654501522288603	1.0	0.44266298592808734	0.5945576512536337	4.3392181396484375e-05	0.006175392552425987	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
brf_lso	0.5654501522288603	8.28984958022388e-05	0.08407669067382813	0.44266298592808734	1.0	0.9201560716950492	4.3392181396484375e-05	0.012983842329545454	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
brf_sgso	0.08407669067382813	0.0001983642578125	0.11749531310281637	0.5945576512536337	0.9201560716950492	1.0	4.3392181396484375e-05	0.03382364908854167	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
brf_sgso_us	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	1.0	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
bxt_gmo	0.005072835286458334	0.0003911407900528169	0.0001983642578125	0.006175392552425987	0.012983842329545454	0.03382364908854167	4.3392181396484375e-05	1.0	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
bxt_gmosa	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	1.0	0.001635825797303082	4.3392181396484375e-05	0.979949951171875	0.14396890779820884	4.3392181396484375e-05
bxt_gso	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	0.001635825797303082	1.0	8.28984958022388e-05	0.00330249683277027	0.9503234863281249	4.3392181396484375e-05
bxt_lmo	4.3392181396484375e-05	8.28984958022388e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	8.28984958022388e-05	1.0	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05
bxt_lso	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	0.979949951171875	0.00330249683277027	4.3392181396484375e-05	1.0	0.0009642706976996529	4.3392181396484375e-05
bxt_sgso	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	0.14396890779820884	0.9503234863281249	4.3392181396484375e-05	0.0009642706976996529	1.0	4.3392181396484375e-05
bxt_sgso_us	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	4.3392181396484375e-05	1.0
