	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.00016335880055147058	0.024313790457589288	0.027130126953125	0.000333251953125	0.00016335880055147058	0.01741472880045573	0.6702409909095294	0.00864687832919034	0.007104208303052326	0.0002644856770833333	0.000333251953125	0.007104208303052326	0.027130126953125
brf_gmosa	0.00016335880055147058	1.0	0.010202822477921196	0.060617381128771554	0.7074176877043968	0.24369049072265625	0.0002644856770833333	0.000333251953125	0.8179037159886853	0.328611273514597	0.03133406729068396	0.04711151123046875	0.11478678385416667	0.00016335880055147058
brf_gso	0.024313790457589288	0.010202822477921196	1.0	0.979949951171875	0.000333251953125	0.002695420209099265	0.0004628499348958333	0.005960604039634146	0.08465674615675403	0.35200639204545453	0.00016335880055147058	0.10509586334228514	0.4380340576171875	0.003411865234375
brf_lmo	0.027130126953125	0.060617381128771554	0.979949951171875	1.0	0.027130126953125	0.005960604039634146	0.00016335880055147058	0.28052408854166666	0.187017822265625	0.6931038362434112	0.004242791069878472	0.24369049072265625	0.9503234863281249	0.005960604039634146
brf_lso	0.000333251953125	0.7074176877043968	0.000333251953125	0.027130126953125	1.0	0.09446546766493055	0.00016335880055147058	0.00016335880055147058	0.7074176877043968	0.2635581656678082	0.04206791630497685	0.28052408854166666	0.15613017362706802	0.0002644856770833333
brf_sgso	0.00016335880055147058	0.24369049072265625	0.002695420209099265	0.005960604039634146	0.09446546766493055	1.0	0.0002644856770833333	0.0004628499348958333	0.14204657255713618	0.08465674615675403	0.6931038362434112	0.11478678385416667	0.08465674615675403	0.0012149810791015625
brf_sgso_us	0.01741472880045573	0.0002644856770833333	0.0004628499348958333	0.00016335880055147058	0.00016335880055147058	0.0002644856770833333	1.0	0.002695420209099265	0.00016335880055147058	0.0004628499348958333	0.00016335880055147058	0.00016335880055147058	0.00016335880055147058	0.7074176877043968
bxt_gmo	0.6702409909095294	0.000333251953125	0.005960604039634146	0.28052408854166666	0.00016335880055147058	0.0004628499348958333	0.002695420209099265	1.0	0.005115709806743421	0.01741472880045573	0.00016335880055147058	0.0004628499348958333	0.060617381128771554	0.010202822477921196
bxt_gmosa	0.00864687832919034	0.8179037159886853	0.08465674615675403	0.187017822265625	0.7074176877043968	0.14204657255713618	0.00016335880055147058	0.005115709806743421	1.0	0.07813534494173728	0.04711151123046875	0.49899910069719144	0.17109348462975543	0.00016335880055147058
bxt_gso	0.007104208303052326	0.328611273514597	0.35200639204545453	0.6931038362434112	0.2635581656678082	0.08465674615675403	0.0004628499348958333	0.01741472880045573	0.07813534494173728	1.0	0.005115709806743421	0.8795916953783357	0.5635429382324219	0.00016335880055147058
bxt_lmo	0.0002644856770833333	0.03133406729068396	0.00016335880055147058	0.004242791069878472	0.04206791630497685	0.6931038362434112	0.00016335880055147058	0.00016335880055147058	0.04711151123046875	0.005115709806743421	1.0	0.0008958385836693549	0.0004628499348958333	0.00016335880055147058
bxt_lso	0.000333251953125	0.04711151123046875	0.10509586334228514	0.24369049072265625	0.28052408854166666	0.11478678385416667	0.00016335880055147058	0.0004628499348958333	0.49899910069719144	0.8795916953783357	0.0008958385836693549	1.0	0.8488772999156605	0.00016335880055147058
bxt_sgso	0.007104208303052326	0.11478678385416667	0.4380340576171875	0.9503234863281249	0.15613017362706802	0.08465674615675403	0.00016335880055147058	0.060617381128771554	0.17109348462975543	0.5635429382324219	0.0004628499348958333	0.8488772999156605	1.0	0.00016335880055147058
bxt_sgso_us	0.027130126953125	0.00016335880055147058	0.003411865234375	0.005960604039634146	0.0002644856770833333	0.0012149810791015625	0.7074176877043968	0.010202822477921196	0.00016335880055147058	0.00016335880055147058	0.00016335880055147058	0.00016335880055147058	0.00016335880055147058	1.0
