	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
brf_gmosa	3.3060709635416664e-05	1.0	3.3060709635416664e-05	3.3060709635416664e-05	0.16637061108117815	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
brf_gso	3.3060709635416664e-05	3.3060709635416664e-05	1.0	0.5340362548828125	0.04088148959847384	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
brf_lmo	3.3060709635416664e-05	3.3060709635416664e-05	0.5340362548828125	1.0	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
brf_lso	3.3060709635416664e-05	0.16637061108117815	0.04088148959847384	3.3060709635416664e-05	1.0	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
brf_sgso	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	1.0	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	0.0006207634420955882	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
brf_sgso_us	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	1.0	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
bxt_gmo	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	1.0	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
bxt_gmosa	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	1.0	0.47416635577598315	3.3060709635416664e-05	3.3060709635416664e-05	0.41751167990944604	3.3060709635416664e-05
bxt_gso	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	0.47416635577598315	1.0	3.3060709635416664e-05	3.3060709635416664e-05	0.5618896484375	3.3060709635416664e-05
bxt_lmo	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	0.0006207634420955882	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	1.0	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05
bxt_lso	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	1.0	3.3060709635416664e-05	3.3060709635416664e-05
bxt_sgso	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	0.41751167990944604	0.5618896484375	3.3060709635416664e-05	3.3060709635416664e-05	1.0	3.3060709635416664e-05
bxt_sgso_us	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	3.3060709635416664e-05	1.0
