	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	8.958385836693549e-05	8.958385836693549e-05	0.007764543805803572	8.958385836693549e-05	8.958385836693549e-05	0.979949951171875	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	0.39139961902006176	8.958385836693549e-05	8.958385836693549e-05	0.9201560716950492
brf_gmosa	8.958385836693549e-05	1.0	0.00869129322193287	8.958385836693549e-05	0.023512776692708334	8.958385836693549e-05	0.0006171332465277778	8.958385836693549e-05	0.04922633017263105	0.01021575927734375	0.0008452042289402174	0.8686186324718387	0.0011226572888962765	0.04324991194928279
brf_gso	8.958385836693549e-05	0.00869129322193287	1.0	8.958385836693549e-05	0.23710426124366554	0.091558837890625	0.00869129322193287	8.958385836693549e-05	0.5721817016601562	0.979949951171875	0.00020320241044207316	8.958385836693549e-05	0.091558837890625	0.09891375373391544
brf_lmo	0.007764543805803572	8.958385836693549e-05	8.958385836693549e-05	1.0	0.00015011349239864866	0.00015011349239864866	0.0006171332465277778	0.7555344525505514	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	0.00015011349239864866
brf_lso	8.958385836693549e-05	0.023512776692708334	0.23710426124366554	0.00015011349239864866	1.0	0.017539576480263157	0.02054096090382543	8.958385836693549e-05	0.34309483781645567	0.27683298211348684	0.005091349283854167	0.3243435946377841	0.20103115505642363	0.10822753906249999
brf_sgso	8.958385836693549e-05	8.958385836693549e-05	0.091558837890625	0.00015011349239864866	0.017539576480263157	1.0	0.023512776692708334	8.958385836693549e-05	0.34309483781645567	0.09891375373391544	0.00869129322193287	0.00020320241044207316	0.4749509512660015	0.13404394875110034
brf_sgso_us	0.979949951171875	0.0006171332465277778	0.00869129322193287	0.0006171332465277778	0.02054096090382543	0.023512776692708334	1.0	8.958385836693549e-05	0.00869129322193287	0.00869129322193287	0.23710426124366554	0.00015011349239864866	0.01021575927734375	0.8895870555530895
bxt_gmo	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	0.7555344525505514	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	1.0	8.958385836693549e-05	8.958385836693549e-05	0.00015011349239864866	8.958385836693549e-05	8.958385836693549e-05	0.00015011349239864866
bxt_gmosa	8.958385836693549e-05	0.04922633017263105	0.5721817016601562	8.958385836693549e-05	0.34309483781645567	0.34309483781645567	0.00869129322193287	8.958385836693549e-05	1.0	0.8895870555530895	0.00020320241044207316	8.958385836693549e-05	0.39139961902006176	0.08331298828125
bxt_gso	8.958385836693549e-05	0.01021575927734375	0.979949951171875	8.958385836693549e-05	0.27683298211348684	0.09891375373391544	0.00869129322193287	8.958385836693549e-05	0.8895870555530895	1.0	0.0006171332465277778	8.958385836693549e-05	0.25652994791666667	0.09891375373391544
bxt_lmo	0.39139961902006176	0.0008452042289402174	0.00020320241044207316	8.958385836693549e-05	0.005091349283854167	0.00869129322193287	0.23710426124366554	0.00015011349239864866	0.00020320241044207316	0.0006171332465277778	1.0	8.958385836693549e-05	0.00033060709635416663	0.4749509512660015
bxt_lso	8.958385836693549e-05	0.8686186324718387	8.958385836693549e-05	8.958385836693549e-05	0.3243435946377841	0.00020320241044207316	0.00015011349239864866	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	8.958385836693549e-05	1.0	8.958385836693549e-05	0.00020320241044207316
bxt_sgso	8.958385836693549e-05	0.0011226572888962765	0.091558837890625	8.958385836693549e-05	0.20103115505642363	0.4749509512660015	0.01021575927734375	8.958385836693549e-05	0.39139961902006176	0.25652994791666667	0.00033060709635416663	8.958385836693549e-05	1.0	0.10822753906249999
bxt_sgso_us	0.9201560716950492	0.04324991194928279	0.09891375373391544	0.00015011349239864866	0.10822753906249999	0.13404394875110034	0.8895870555530895	0.00015011349239864866	0.08331298828125	0.09891375373391544	0.4749509512660015	0.00020320241044207316	0.10822753906249999	1.0
