	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	6.9427490234375e-05	0.0002722646675857843	6.9427490234375e-05	6.9427490234375e-05	0.00011817445146276595	6.9427490234375e-05	0.0008943202131885592	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05
brf_gmosa	6.9427490234375e-05	1.0	0.6537229364568536	6.9427490234375e-05	0.00035999439380787036	0.860260009765625	6.9427490234375e-05	0.1616203402295525	6.9427490234375e-05	6.9427490234375e-05	0.00035999439380787036	0.00035999439380787036	6.9427490234375e-05	6.9427490234375e-05
brf_gso	0.0002722646675857843	0.6537229364568536	1.0	0.0008943202131885592	0.022142740885416668	0.14756813049316406	6.9427490234375e-05	0.013885498046875	6.9427490234375e-05	6.9427490234375e-05	0.0015023653624487705	0.003702799479166667	0.00011817445146276595	6.9427490234375e-05
brf_lmo	6.9427490234375e-05	6.9427490234375e-05	0.0008943202131885592	1.0	0.006801881651947464	0.07629903157552084	6.9427490234375e-05	6.9427490234375e-05	0.004559417269123134	0.06816517223011363	0.4850667317708333	0.21397213819550304	0.7215778479415379	6.9427490234375e-05
brf_lso	6.9427490234375e-05	0.00035999439380787036	0.022142740885416668	0.006801881651947464	1.0	0.23180416980421686	6.9427490234375e-05	0.0002722646675857843	0.00011817445146276595	0.00011817445146276595	0.011773337780589789	0.016320215512628425	0.0011571248372395833	6.9427490234375e-05
brf_sgso	0.00011817445146276595	0.860260009765625	0.14756813049316406	0.07629903157552084	0.23180416980421686	1.0	6.9427490234375e-05	0.005595038918887868	6.9427490234375e-05	0.00011817445146276595	0.0024244520399305555	0.02989036158511513	0.00069427490234375	6.9427490234375e-05
brf_sgso_us	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	1.0	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	0.003037452697753906
bxt_gmo	0.0008943202131885592	0.1616203402295525	0.013885498046875	6.9427490234375e-05	0.0002722646675857843	0.005595038918887868	6.9427490234375e-05	1.0	0.00011817445146276595	0.00011817445146276595	0.0008943202131885592	0.0019260529548891128	0.0002722646675857843	6.9427490234375e-05
bxt_gmosa	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	0.004559417269123134	0.00011817445146276595	6.9427490234375e-05	6.9427490234375e-05	0.00011817445146276595	1.0	0.01906441353462838	0.0001735687255859375	0.003702799479166667	0.00069427490234375	6.9427490234375e-05
bxt_gso	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	0.06816517223011363	0.00011817445146276595	0.00011817445146276595	6.9427490234375e-05	0.00011817445146276595	0.01906441353462838	1.0	0.4850667317708333	0.14756813049316406	0.008172607421875	6.9427490234375e-05
bxt_lmo	6.9427490234375e-05	0.00035999439380787036	0.0015023653624487705	0.4850667317708333	0.011773337780589789	0.0024244520399305555	6.9427490234375e-05	0.0008943202131885592	0.0001735687255859375	0.4850667317708333	1.0	0.463775634765625	0.37742106119791663	6.9427490234375e-05
bxt_lso	6.9427490234375e-05	0.00035999439380787036	0.003702799479166667	0.21397213819550304	0.016320215512628425	0.02989036158511513	6.9427490234375e-05	0.0019260529548891128	0.003702799479166667	0.14756813049316406	0.463775634765625	1.0	0.860260009765625	6.9427490234375e-05
bxt_sgso	6.9427490234375e-05	6.9427490234375e-05	0.00011817445146276595	0.7215778479415379	0.0011571248372395833	0.00069427490234375	6.9427490234375e-05	0.0002722646675857843	0.00069427490234375	0.008172607421875	0.37742106119791663	0.860260009765625	1.0	6.9427490234375e-05
bxt_sgso_us	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	0.003037452697753906	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	6.9427490234375e-05	1.0
