	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	0.11167485663231382	7.714165581597222e-05	0.003061930338541667	0.6159520149230957	0.402679443359375	0.17354038783482142	0.402679443359375	0.4162409464518229	7.714165581597222e-05
brf_gmosa	7.714165581597222e-05	1.0	0.022721724076704544	0.0007308156866776315	0.6159520149230957	0.7102175112123843	7.714165581597222e-05	7.714165581597222e-05	0.38253284801136367	0.7102175112123843	0.7102175112123843	0.7102175112123843	0.7102175112123843	7.714165581597222e-05
brf_gso	7.714165581597222e-05	0.022721724076704544	1.0	0.00485992431640625	7.714165581597222e-05	0.7419258675924162	7.714165581597222e-05	7.714165581597222e-05	0.7102175112123843	0.7102175112123843	0.8274142243141352	0.7102175112123843	0.7102175112123843	7.714165581597222e-05
brf_lmo	7.714165581597222e-05	0.0007308156866776315	0.00485992431640625	1.0	7.714165581597222e-05	0.7960474350873161	7.714165581597222e-05	7.714165581597222e-05	0.7102175112123843	0.7102175112123843	0.7645289103190104	0.7102175112123843	0.7102175112123843	7.714165581597222e-05
brf_lso	7.714165581597222e-05	0.6159520149230957	7.714165581597222e-05	7.714165581597222e-05	1.0	0.7102175112123843	7.714165581597222e-05	7.714165581597222e-05	0.15783182779947916	0.5510751047442036	0.7102175112123843	0.7102175112123843	0.7102175112123843	7.714165581597222e-05
brf_sgso	0.11167485663231382	0.7102175112123843	0.7419258675924162	0.7960474350873161	0.7102175112123843	1.0	7.714165581597222e-05	0.38253284801136367	0.0003752837309966216	0.2361090087890625	1.0	0.38253284801136367	0.016145927961482558	7.714165581597222e-05
brf_sgso_us	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	1.0	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05
bxt_gmo	0.003061930338541667	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	0.38253284801136367	7.714165581597222e-05	1.0	0.9503234863281249	0.8586345102595186	0.38253284801136367	0.7645289103190104	0.9306123906915837	7.714165581597222e-05
bxt_gmosa	0.6159520149230957	0.38253284801136367	0.7102175112123843	0.7102175112123843	0.15783182779947916	0.0003752837309966216	7.714165581597222e-05	0.9503234863281249	1.0	0.08960774739583333	7.714165581597222e-05	0.10021707286005435	0.011447069121570121	7.714165581597222e-05
bxt_gso	0.402679443359375	0.7102175112123843	0.7102175112123843	0.7102175112123843	0.5510751047442036	0.2361090087890625	7.714165581597222e-05	0.8586345102595186	0.08960774739583333	1.0	0.38253284801136367	0.9503234863281249	0.4162409464518229	7.714165581597222e-05
bxt_lmo	0.17354038783482142	0.7102175112123843	0.8274142243141352	0.7645289103190104	0.7102175112123843	1.0	7.714165581597222e-05	0.38253284801136367	7.714165581597222e-05	0.38253284801136367	1.0	0.44433593750000006	0.016145927961482558	7.714165581597222e-05
bxt_lso	0.402679443359375	0.7102175112123843	0.7102175112123843	0.7102175112123843	0.7102175112123843	0.38253284801136367	7.714165581597222e-05	0.7645289103190104	0.10021707286005435	0.9503234863281249	0.44433593750000006	1.0	0.4162409464518229	7.714165581597222e-05
bxt_sgso	0.4162409464518229	0.7102175112123843	0.7102175112123843	0.7102175112123843	0.7102175112123843	0.016145927961482558	7.714165581597222e-05	0.9306123906915837	0.011447069121570121	0.4162409464518229	0.016145927961482558	0.4162409464518229	1.0	7.714165581597222e-05
bxt_sgso_us	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	7.714165581597222e-05	1.0
