	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	0.0006764729817708334	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05
brf_gmosa	3.8042460402397256e-05	1.0	3.8042460402397256e-05	3.8042460402397256e-05	0.39272018958782323	0.038633322413963604	3.8042460402397256e-05	3.8042460402397256e-05	7.308156866776316e-05	0.5618896484375	0.31516851380813954	3.8042460402397256e-05	0.14756813049316406	3.8042460402397256e-05
brf_gso	3.8042460402397256e-05	3.8042460402397256e-05	1.0	0.5618896484375	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05
brf_lmo	3.8042460402397256e-05	3.8042460402397256e-05	0.5618896484375	1.0	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	7.308156866776316e-05	3.8042460402397256e-05
brf_lso	3.8042460402397256e-05	0.39272018958782323	3.8042460402397256e-05	3.8042460402397256e-05	1.0	0.17869436005015432	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	0.5400366622410464	0.31516851380813954	3.8042460402397256e-05	0.1922555946442018	3.8042460402397256e-05
brf_sgso	3.8042460402397256e-05	0.038633322413963604	3.8042460402397256e-05	3.8042460402397256e-05	0.17869436005015432	1.0	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	7.308156866776316e-05	3.8042460402397256e-05	3.8042460402397256e-05
brf_sgso_us	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	1.0	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05
bxt_gmo	0.0006764729817708334	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	1.0	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05
bxt_gmosa	3.8042460402397256e-05	7.308156866776316e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	1.0	3.8042460402397256e-05	3.8042460402397256e-05	0.1922555946442018	3.8042460402397256e-05	3.8042460402397256e-05
bxt_gso	3.8042460402397256e-05	0.5618896484375	3.8042460402397256e-05	3.8042460402397256e-05	0.5400366622410464	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	1.0	0.41751167990944604	3.8042460402397256e-05	0.00025246360085227275	3.8042460402397256e-05
bxt_lmo	3.8042460402397256e-05	0.31516851380813954	3.8042460402397256e-05	3.8042460402397256e-05	0.31516851380813954	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	0.41751167990944604	1.0	3.8042460402397256e-05	0.25046793619791663	3.8042460402397256e-05
bxt_lso	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	7.308156866776316e-05	3.8042460402397256e-05	3.8042460402397256e-05	0.1922555946442018	3.8042460402397256e-05	3.8042460402397256e-05	1.0	3.8042460402397256e-05	3.8042460402397256e-05
bxt_sgso	3.8042460402397256e-05	0.14756813049316406	3.8042460402397256e-05	7.308156866776316e-05	0.1922555946442018	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	0.00025246360085227275	0.25046793619791663	3.8042460402397256e-05	1.0	3.8042460402397256e-05
bxt_sgso_us	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	3.8042460402397256e-05	1.0
