	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_gmosa	3.515315961234177e-05	1.0	0.005587259928385416	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_gso	3.515315961234177e-05	0.005587259928385416	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.43801032172309023	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_lmo	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_lso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
brf_sgso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	6.857036072530865e-05	0.2838006453080611	3.515315961234177e-05	3.515315961234177e-05	0.014016185087316176	0.030677263126816862
brf_sgso_us	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
bxt_gmo	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	6.857036072530865e-05	3.515315961234177e-05	3.515315961234177e-05
bxt_gmosa	3.515315961234177e-05	3.515315961234177e-05	0.43801032172309023	3.515315961234177e-05	3.515315961234177e-05	6.857036072530865e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	0.0011176132574314025	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.0014387383518448796
bxt_gso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.2838006453080611	3.515315961234177e-05	3.515315961234177e-05	0.0011176132574314025	1.0	3.515315961234177e-05	3.515315961234177e-05	0.30454485603932585	0.04634883485991379
bxt_lmo	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05
bxt_lso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	6.857036072530865e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	1.0	3.515315961234177e-05	3.515315961234177e-05
bxt_sgso	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.014016185087316176	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.30454485603932585	3.515315961234177e-05	3.515315961234177e-05	1.0	0.49542236328125
bxt_sgso_us	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	3.515315961234177e-05	0.030677263126816862	3.515315961234177e-05	3.515315961234177e-05	0.0014387383518448796	0.04634883485991379	3.515315961234177e-05	3.515315961234177e-05	0.49542236328125	1.0
