	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05
brf_gmosa	3.7528373099662165e-05	1.0	3.7528373099662165e-05	3.7528373099662165e-05	0.025814403187144886	0.0001714259018132716	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	0.00010545947883702531	3.7528373099662165e-05	3.7528373099662165e-05	7.308156866776316e-05	3.7528373099662165e-05
brf_gso	3.7528373099662165e-05	3.7528373099662165e-05	1.0	0.00010545947883702531	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	0.07557455341467696	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05
brf_lmo	3.7528373099662165e-05	3.7528373099662165e-05	0.00010545947883702531	1.0	3.7528373099662165e-05	0.00010545947883702531	3.7528373099662165e-05	7.308156866776316e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05
brf_lso	3.7528373099662165e-05	0.025814403187144886	3.7528373099662165e-05	3.7528373099662165e-05	1.0	0.0001714259018132716	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	0.0002342132200677711	3.7528373099662165e-05	3.7528373099662165e-05	0.0002342132200677711	3.7528373099662165e-05
brf_sgso	3.7528373099662165e-05	0.0001714259018132716	3.7528373099662165e-05	0.00010545947883702531	0.0001714259018132716	1.0	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05
brf_sgso_us	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	1.0	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05
bxt_gmo	3.7528373099662165e-05	3.7528373099662165e-05	0.07557455341467696	7.308156866776316e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	1.0	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05
bxt_gmosa	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	1.0	0.006730382582720588	0.0018183390299479165	3.7528373099662165e-05	0.01640426280886628	3.7528373099662165e-05
bxt_gso	3.7528373099662165e-05	0.00010545947883702531	3.7528373099662165e-05	3.7528373099662165e-05	0.0002342132200677711	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	0.006730382582720588	1.0	0.19281005859375	3.7528373099662165e-05	0.16082492404513887	3.7528373099662165e-05
bxt_lmo	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	0.0018183390299479165	0.19281005859375	1.0	3.7528373099662165e-05	0.02237640030082615	3.7528373099662165e-05
bxt_lso	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	1.0	3.7528373099662165e-05	3.7528373099662165e-05
bxt_sgso	3.7528373099662165e-05	7.308156866776316e-05	3.7528373099662165e-05	3.7528373099662165e-05	0.0002342132200677711	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	0.01640426280886628	0.16082492404513887	0.02237640030082615	3.7528373099662165e-05	1.0	3.7528373099662165e-05
bxt_sgso_us	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	3.7528373099662165e-05	1.0
