	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	8.167940027573529e-05	0.00015428331163194444	0.00015428331163194444	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05
brf_gmosa	8.167940027573529e-05	1.0	0.93988037109375	0.9201560716950492	0.8686186324718387	0.03001631067154255	8.167940027573529e-05	0.1009368896484375	0.5854991566051136	0.353118896484375	0.6702409909095294	0.022721724076704544	0.17404675092853486	8.167940027573529e-05
brf_gso	0.00015428331163194444	0.93988037109375	1.0	0.805524190266927	0.7329870017178087	0.13291101288377194	8.167940027573529e-05	0.1009368896484375	0.6161956787109375	0.17404675092853486	0.5626774088541667	0.0013885498046875	0.12229336825284091	8.167940027573529e-05
brf_lmo	0.00015428331163194444	0.9201560716950492	0.805524190266927	1.0	0.8686186324718387	0.05384172712053572	8.167940027573529e-05	0.013621012369791666	0.425338966259058	0.2573744250882056	0.5854991566051136	0.00485992431640625	0.11020971227575231	8.167940027573529e-05
brf_lso	8.167940027573529e-05	0.8686186324718387	0.7329870017178087	0.8686186324718387	1.0	0.026475016276041666	8.167940027573529e-05	0.022721724076704544	0.425338966259058	0.16408828209186424	0.5626774088541667	0.0017801920572916667	0.061040649414062495	8.167940027573529e-05
brf_sgso	8.167940027573529e-05	0.03001631067154255	0.13291101288377194	0.05384172712053572	0.026475016276041666	1.0	8.167940027573529e-05	0.5626774088541667	0.9201560716950492	0.3784008604107481	0.7329870017178087	0.17404675092853486	0.40454465951492535	8.167940027573529e-05
brf_sgso_us	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	1.0	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05
bxt_gmo	8.167940027573529e-05	0.1009368896484375	0.1009368896484375	0.013621012369791666	0.022721724076704544	0.5626774088541667	8.167940027573529e-05	1.0	0.6702409909095294	0.5102920532226562	0.353118896484375	0.05384172712053572	0.4529052734375	8.167940027573529e-05
bxt_gmosa	8.167940027573529e-05	0.5854991566051136	0.6161956787109375	0.425338966259058	0.425338966259058	0.9201560716950492	8.167940027573529e-05	0.6702409909095294	1.0	0.3339572482638889	0.6472399747824367	0.11020971227575231	0.0010507944467905406	8.167940027573529e-05
bxt_gso	8.167940027573529e-05	0.353118896484375	0.17404675092853486	0.2573744250882056	0.16408828209186424	0.3784008604107481	8.167940027573529e-05	0.5102920532226562	0.3339572482638889	1.0	0.03001631067154255	0.9201560716950492	0.4812205140019806	8.167940027573529e-05
bxt_lmo	8.167940027573529e-05	0.6702409909095294	0.5626774088541667	0.5854991566051136	0.5626774088541667	0.7329870017178087	8.167940027573529e-05	0.353118896484375	0.6472399747824367	0.03001631067154255	1.0	0.13291101288377194	0.013621012369791666	8.167940027573529e-05
bxt_lso	8.167940027573529e-05	0.022721724076704544	0.0013885498046875	0.00485992431640625	0.0017801920572916667	0.17404675092853486	8.167940027573529e-05	0.05384172712053572	0.11020971227575231	0.9201560716950492	0.13291101288377194	1.0	0.93988037109375	8.167940027573529e-05
bxt_sgso	8.167940027573529e-05	0.17404675092853486	0.12229336825284091	0.11020971227575231	0.061040649414062495	0.40454465951492535	8.167940027573529e-05	0.4529052734375	0.0010507944467905406	0.4812205140019806	0.013621012369791666	0.93988037109375	1.0	8.167940027573529e-05
bxt_sgso_us	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	8.167940027573529e-05	1.0
