	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.3819683028990964	0.3579071789253049	0.08382147130831866	0.06585693359375	0.1832182678995253	0.0013099526459316036	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.00014616313733552632	9.918212890625e-05	0.00014616313733552632	0.002132415771484375
brf_gmosa	0.3819683028990964	1.0	0.0005667550223214286	9.918212890625e-05	9.918212890625e-05	0.6463777349236306	0.021056217933768655	0.0013099526459316036	0.002633456526131466	0.001697116427951389	0.002633456526131466	0.00041361058011968083	0.003186835617315574	0.1378811922940341
brf_gso	0.3579071789253049	0.0005667550223214286	1.0	0.8300133599175347	0.93988037109375	0.00014616313733552632	9.918212890625e-05	0.11491187843116554	0.00014616313733552632	9.918212890625e-05	0.00014616313733552632	9.918212890625e-05	9.918212890625e-05	0.00014616313733552632
brf_lmo	0.08382147130831866	9.918212890625e-05	0.8300133599175347	1.0	0.5123117620294745	0.00020320241044207316	0.00020320241044207316	0.5123117620294745	0.0003085666232638889	9.918212890625e-05	0.0003085666232638889	0.00014616313733552632	0.00014616313733552632	0.0003085666232638889
brf_lso	0.06585693359375	9.918212890625e-05	0.93988037109375	0.5123117620294745	1.0	9.918212890625e-05	9.918212890625e-05	0.11491187843116554	0.00014616313733552632	9.918212890625e-05	0.00014616313733552632	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05
brf_sgso	0.1832182678995253	0.6463777349236306	0.00014616313733552632	0.00020320241044207316	9.918212890625e-05	1.0	0.003941689768145161	9.918212890625e-05	0.0003085666232638889	9.918212890625e-05	0.00041361058011968083	9.918212890625e-05	9.918212890625e-05	0.10522121853298612
brf_sgso_us	0.0013099526459316036	0.021056217933768655	9.918212890625e-05	0.00020320241044207316	9.918212890625e-05	0.003941689768145161	1.0	0.00020320241044207316	0.003186835617315574	0.0005667550223214286	0.002132415771484375	9.918212890625e-05	0.0013099526459316036	0.1378811922940341
bxt_gmo	9.918212890625e-05	0.0013099526459316036	0.11491187843116554	0.5123117620294745	0.11491187843116554	9.918212890625e-05	0.00020320241044207316	1.0	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05
bxt_gmosa	9.918212890625e-05	0.002633456526131466	0.00014616313733552632	0.0003085666232638889	0.00014616313733552632	0.0003085666232638889	0.003186835617315574	9.918212890625e-05	1.0	0.30832662700135033	0.5123117620294745	0.03823542940443841	0.240496826171875	0.004773139953613281
bxt_gso	9.918212890625e-05	0.001697116427951389	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.0005667550223214286	9.918212890625e-05	0.30832662700135033	1.0	0.4964800666360294	0.024422140682444853	0.4373931884765625	0.003186835617315574
bxt_lmo	0.00014616313733552632	0.002633456526131466	0.00014616313733552632	0.0003085666232638889	0.00014616313733552632	0.00041361058011968083	0.002132415771484375	9.918212890625e-05	0.5123117620294745	0.4964800666360294	1.0	0.1378811922940341	0.1513519287109375	0.00880126953125
bxt_lso	9.918212890625e-05	0.00041361058011968083	9.918212890625e-05	0.00014616313733552632	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.03823542940443841	0.024422140682444853	0.1378811922940341	1.0	0.015147816051136364	0.0007775878906249999
bxt_sgso	0.00014616313733552632	0.003186835617315574	9.918212890625e-05	0.00014616313733552632	9.918212890625e-05	9.918212890625e-05	0.0013099526459316036	9.918212890625e-05	0.240496826171875	0.4373931884765625	0.1513519287109375	0.015147816051136364	1.0	0.004773139953613281
bxt_sgso_us	0.002132415771484375	0.1378811922940341	0.00014616313733552632	0.0003085666232638889	9.918212890625e-05	0.10522121853298612	0.1378811922940341	9.918212890625e-05	0.004773139953613281	0.003186835617315574	0.00880126953125	0.0007775878906249999	0.004773139953613281	1.0
