	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_gmosa	3.911407900528169e-05	1.0	0.008466767101753049	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.0003606622869318182	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.016794840494791664	0.0015115858633306962
brf_gso	3.911407900528169e-05	0.008466767101753049	1.0	3.911407900528169e-05	3.911407900528169e-05	0.0001876418654983108	0.00579419548128858	3.911407900528169e-05	0.0001876418654983108	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.11066419024800146	0.0015115858633306962
brf_lmo	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_lso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_sgso	3.911407900528169e-05	3.911407900528169e-05	0.0001876418654983108	3.911407900528169e-05	3.911407900528169e-05	1.0	7.714165581597222e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_sgso_us	3.911407900528169e-05	0.0003606622869318182	0.00579419548128858	3.911407900528169e-05	3.911407900528169e-05	7.714165581597222e-05	1.0	3.911407900528169e-05	0.0003606622869318182	0.632171630859375	3.911407900528169e-05	3.911407900528169e-05	0.3080055930397727	0.263824462890625
bxt_gmo	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
bxt_gmosa	3.911407900528169e-05	3.911407900528169e-05	0.0001876418654983108	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.0003606622869318182	3.911407900528169e-05	1.0	0.014353924487010542	3.911407900528169e-05	3.911407900528169e-05	0.003818511962890625	0.0003606622869318182
bxt_gso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.632171630859375	3.911407900528169e-05	0.014353924487010542	1.0	3.911407900528169e-05	3.911407900528169e-05	0.3838950167880969	0.632171630859375
bxt_lmo	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
bxt_lso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05
bxt_sgso	3.911407900528169e-05	0.016794840494791664	0.11066419024800146	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.3080055930397727	3.911407900528169e-05	0.003818511962890625	0.3838950167880969	3.911407900528169e-05	3.911407900528169e-05	1.0	0.02672549977022059
bxt_sgso_us	3.911407900528169e-05	0.0015115858633306962	0.0015115858633306962	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.263824462890625	3.911407900528169e-05	0.0003606622869318182	0.632171630859375	3.911407900528169e-05	3.911407900528169e-05	0.02672549977022059	1.0
