	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.0013092041015625	5.340576171875e-05	0.0016585456000434028	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05
brf_gmosa	5.340576171875e-05	1.0	0.00044080946180555556	0.781951904296875	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.05835424495648734	5.340576171875e-05	0.39272018958782323
brf_gso	5.340576171875e-05	0.00044080946180555556	1.0	0.0020923353221318493	0.0013092041015625	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.29731496175130206	5.340576171875e-05	0.7518225775824653
brf_lmo	5.340576171875e-05	0.781951904296875	0.0020923353221318493	1.0	5.340576171875e-05	0.000227631115522541	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.000227631115522541	0.00014364308324353448	0.14574630172164352	0.00010098544034090909	0.15964936047065548
brf_lso	0.0013092041015625	5.340576171875e-05	0.0013092041015625	5.340576171875e-05	1.0	5.340576171875e-05	0.0016585456000434028	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.007527401572779605
brf_sgso	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.000227631115522541	5.340576171875e-05	1.0	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.0005890817353219697	0.31887637867647056	5.340576171875e-05	0.00014364308324353448	0.001020992503446691
brf_sgso_us	0.0016585456000434028	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.0016585456000434028	5.340576171875e-05	1.0	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.00010098544034090909	5.340576171875e-05	5.340576171875e-05
bxt_gmo	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	1.0	0.0026269861169763513	0.6835721476694172	0.021567604758522728	5.340576171875e-05	0.25348562217620485	0.000227631115522541
bxt_gmosa	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.0026269861169763513	1.0	0.0005890817353219697	0.006257731119791667	5.340576171875e-05	0.00010098544034090909	0.00014364308324353448
bxt_gso	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.000227631115522541	5.340576171875e-05	0.0005890817353219697	5.340576171875e-05	0.6835721476694172	0.0005890817353219697	1.0	0.05169677734375	5.340576171875e-05	0.39272018958782323	0.0005890817353219697
bxt_lmo	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.00014364308324353448	5.340576171875e-05	0.31887637867647056	5.340576171875e-05	0.021567604758522728	0.006257731119791667	0.05169677734375	1.0	0.00044080946180555556	0.08407669067382813	5.340576171875e-05
bxt_lso	5.340576171875e-05	0.05835424495648734	0.29731496175130206	0.14574630172164352	5.340576171875e-05	5.340576171875e-05	0.00010098544034090909	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.00044080946180555556	1.0	5.340576171875e-05	0.6537229364568536
bxt_sgso	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	0.00010098544034090909	5.340576171875e-05	0.00014364308324353448	5.340576171875e-05	0.25348562217620485	0.00010098544034090909	0.39272018958782323	0.08407669067382813	5.340576171875e-05	1.0	0.001020992503446691
bxt_sgso_us	5.340576171875e-05	0.39272018958782323	0.7518225775824653	0.15964936047065548	0.007527401572779605	0.001020992503446691	5.340576171875e-05	0.000227631115522541	0.00014364308324353448	0.0005890817353219697	5.340576171875e-05	0.6537229364568536	0.001020992503446691	1.0
