	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_gmosa	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	0.00069427490234375	0.7518225775824653	0.7518225775824653	0.36440654184626436	0.36440654184626436	3.857082790798611e-05
brf_gso	3.857082790798611e-05	3.857082790798611e-05	1.0	0.5461734424937855	3.857082790798611e-05	0.0031331380208333335	3.857082790798611e-05	0.00026269861169763516	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_lmo	3.857082790798611e-05	3.857082790798611e-05	0.5461734424937855	1.0	3.857082790798611e-05	0.0071510314941406255	3.857082790798611e-05	0.04340503833912037	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_lso	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	0.820892333984375	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_sgso	3.857082790798611e-05	3.857082790798611e-05	0.0031331380208333335	0.0071510314941406255	0.820892333984375	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
brf_sgso_us	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	0.00069427490234375
bxt_gmo	3.857082790798611e-05	3.857082790798611e-05	0.00026269861169763516	0.04340503833912037	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05
bxt_gmosa	3.857082790798611e-05	0.00069427490234375	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	3.857082790798611e-05	0.0071510314941406255	0.001983642578125	3.857082790798611e-05	3.857082790798611e-05
bxt_gso	3.857082790798611e-05	0.7518225775824653	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0	0.1577258741999247	0.07257712759622713	0.2700320973115809	3.857082790798611e-05
bxt_lmo	3.857082790798611e-05	0.7518225775824653	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	0.0071510314941406255	0.1577258741999247	1.0	0.22904459635416666	7.608492080479451e-05	3.857082790798611e-05
bxt_lso	3.857082790798611e-05	0.36440654184626436	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	0.001983642578125	0.07257712759622713	0.22904459635416666	1.0	3.857082790798611e-05	3.857082790798611e-05
bxt_sgso	3.857082790798611e-05	0.36440654184626436	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	0.2700320973115809	7.608492080479451e-05	3.857082790798611e-05	1.0	3.857082790798611e-05
bxt_sgso_us	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	0.00069427490234375	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	3.857082790798611e-05	1.0
