	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.0010799831814236112	0.9099321153428819	0.11167485663231382	0.6394061464251894	0.27995112904331143	0.8686186324718387	0.0013885498046875	0.7015563220512576	0.10021707286005435	0.2186194525824653	0.0020294189453125	0.23802268288352274	0.6440490722656249
brf_gmosa	0.0010799831814236112	1.0	0.0002777099609375	0.5338540077209473	0.0002777099609375	0.773740102009601	0.6394061464251894	0.0002777099609375	0.00037027994791666665	0.00247955322265625	0.0013885498046875	0.0002777099609375	0.0020294189453125	0.040505013814786585
brf_gso	0.9099321153428819	0.0002777099609375	1.0	0.15783182779947916	0.43716922883064513	0.08960774739583333	0.7015563220512576	0.0020294189453125	0.6440490722656249	0.1667348824295343	0.1667348824295343	0.00037027994791666665	0.43716922883064513	0.7004377809289383
brf_lmo	0.11167485663231382	0.5338540077209473	0.15783182779947916	1.0	0.00037027994791666665	0.8471145629882812	0.7015563220512576	0.003731727600097656	0.01634521484375	0.004628499348958334	0.02259208060599662	0.0020294189453125	0.003731727600097656	0.18302154541015625
brf_lso	0.6394061464251894	0.0002777099609375	0.43716922883064513	0.00037027994791666665	1.0	0.1667348824295343	0.7015563220512576	0.003731727600097656	0.8686186324718387	0.3025123333108836	0.6675453186035156	0.01634521484375	0.5032280815972222	0.7015563220512576
brf_sgso	0.27995112904331143	0.773740102009601	0.08960774739583333	0.8471145629882812	0.1667348824295343	1.0	0.040505013814786585	0.0002777099609375	0.040505013814786585	0.0002777099609375	0.0008678436279296874	0.0002777099609375	0.00037027994791666665	0.0010799831814236112
brf_sgso_us	0.8686186324718387	0.6394061464251894	0.7015563220512576	0.7015563220512576	0.7015563220512576	0.040505013814786585	1.0	0.0002777099609375	0.7015563220512576	0.2584686279296875	0.8998121941226652	0.6675453186035156	0.7015563220512576	0.019285413953993056
bxt_gmo	0.0013885498046875	0.0002777099609375	0.0020294189453125	0.003731727600097656	0.003731727600097656	0.0002777099609375	0.0002777099609375	1.0	0.001767245205965909	0.0002777099609375	0.0002777099609375	0.003731727600097656	0.00037027994791666665	0.026309364720394735
bxt_gmosa	0.7015563220512576	0.00037027994791666665	0.6440490722656249	0.01634521484375	0.8686186324718387	0.040505013814786585	0.7015563220512576	0.001767245205965909	1.0	0.06936437433416193	0.979949951171875	0.00247955322265625	0.35659841763771183	0.6440490722656249
bxt_gso	0.10021707286005435	0.00247955322265625	0.1667348824295343	0.004628499348958334	0.3025123333108836	0.0002777099609375	0.2584686279296875	0.0002777099609375	0.06936437433416193	1.0	0.20031795861586082	0.38254547119140625	0.06936437433416193	0.9099321153428819
bxt_lmo	0.2186194525824653	0.0013885498046875	0.1667348824295343	0.02259208060599662	0.6675453186035156	0.0008678436279296874	0.8998121941226652	0.0002777099609375	0.979949951171875	0.20031795861586082	1.0	0.001767245205965909	0.7015563220512576	0.6440490722656249
bxt_lso	0.0020294189453125	0.0002777099609375	0.00037027994791666665	0.0020294189453125	0.01634521484375	0.0002777099609375	0.6675453186035156	0.003731727600097656	0.00247955322265625	0.38254547119140625	0.001767245205965909	1.0	0.046351114908854164	0.9099321153428819
bxt_sgso	0.23802268288352274	0.0020294189453125	0.43716922883064513	0.003731727600097656	0.5032280815972222	0.00037027994791666665	0.7015563220512576	0.00037027994791666665	0.35659841763771183	0.06936437433416193	0.7015563220512576	0.046351114908854164	1.0	0.7015563220512576
bxt_sgso_us	0.6440490722656249	0.040505013814786585	0.7004377809289383	0.18302154541015625	0.7015563220512576	0.0010799831814236112	0.019285413953993056	0.026309364720394735	0.6440490722656249	0.9099321153428819	0.6440490722656249	0.9099321153428819	0.7015563220512576	1.0
