	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_gmosa	3.654078433388158e-05	1.0	0.10939218806124282	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.00565457631306476	3.654078433388158e-05	3.654078433388158e-05	0.0001068115234375	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.07821087504542151
brf_gso	3.654078433388158e-05	0.10939218806124282	1.0	3.654078433388158e-05	3.654078433388158e-05	0.0008788289903085443	0.061749626608455885	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.30454485603932585
brf_lmo	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_lso	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_sgso	3.654078433388158e-05	3.654078433388158e-05	0.0008788289903085443	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	0.0030170958719135804	0.0011455535888671875	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.899932861328125
brf_sgso_us	3.654078433388158e-05	0.00565457631306476	0.061749626608455885	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
bxt_gmo	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	7.213245738636364e-05	3.654078433388158e-05	3.654078433388158e-05
bxt_gmosa	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.0030170958719135804	3.654078433388158e-05	3.654078433388158e-05	1.0	0.00565457631306476	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.1993831287730824
bxt_gso	3.654078433388158e-05	0.0001068115234375	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.0011455535888671875	3.654078433388158e-05	3.654078433388158e-05	0.00565457631306476	1.0	3.654078433388158e-05	3.654078433388158e-05	0.8300133599175347	0.0418548583984375
bxt_lmo	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
bxt_lso	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	7.213245738636364e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05
bxt_sgso	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.8300133599175347	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05
bxt_sgso_us	3.654078433388158e-05	0.07821087504542151	0.30454485603932585	3.654078433388158e-05	3.654078433388158e-05	0.899932861328125	3.654078433388158e-05	3.654078433388158e-05	0.1993831287730824	0.0418548583984375	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0
