	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	9.1552734375e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.6288361420502534	0.11822509765625	0.029502175071022728	0.0021462362320696722	5.064619348404256e-05	5.064619348404256e-05	0.004156203497023809	0.029502175071022728
brf_gmosa	9.1552734375e-05	1.0	9.1552734375e-05	5.064619348404256e-05	5.064619348404256e-05	0.0007537841796875	0.00020880448190789476	5.064619348404256e-05	9.1552734375e-05	5.064619348404256e-05	5.064619348404256e-05	0.00013224283854166666	0.00020880448190789476
brf_gso	5.064619348404256e-05	9.1552734375e-05	1.0	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05
brf_lmo	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	1.0	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05
brf_lso	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	1.0	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.5442668216329225	5.064619348404256e-05	5.064619348404256e-05
brf_sgso	0.6288361420502534	0.0007537841796875	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	1.0	5.064619348404256e-05	0.006285667419433594	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.00013224283854166666	9.1552734375e-05
brf_sgso_us	0.11822509765625	0.00020880448190789476	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	1.0	0.6861419677734375	0.03904519152285448	5.064619348404256e-05	5.064619348404256e-05	0.08478321748621323	0.0007537841796875
bxt_gmosa	0.029502175071022728	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.006285667419433594	0.6861419677734375	1.0	0.7532174246651785	0.00041040880926724135	5.064619348404256e-05	0.860260009765625	0.5721817016601562
bxt_gso	0.0021462362320696722	9.1552734375e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.03904519152285448	0.7532174246651785	1.0	9.1552734375e-05	5.064619348404256e-05	0.65745849609375	0.6288361420502534
bxt_lmo	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.00041040880926724135	9.1552734375e-05	1.0	5.064619348404256e-05	0.00020880448190789476	0.002687515751008065
bxt_lso	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.5442668216329225	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	1.0	5.064619348404256e-05	5.064619348404256e-05
bxt_sgso	0.004156203497023809	0.00013224283854166666	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	0.00013224283854166666	0.08478321748621323	0.860260009765625	0.65745849609375	0.00020880448190789476	5.064619348404256e-05	1.0	0.3882045200892857
bxt_sgso_us	0.029502175071022728	0.00020880448190789476	5.064619348404256e-05	5.064619348404256e-05	5.064619348404256e-05	9.1552734375e-05	0.0007537841796875	0.5721817016601562	0.6288361420502534	0.002687515751008065	5.064619348404256e-05	0.3882045200892857	1.0
