	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.00109100341796875	3.552792677238806e-05	3.552792677238806e-05	6.899626358695653e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_gmosa	0.00109100341796875	1.0	3.552792677238806e-05	3.552792677238806e-05	0.00010201590401785713	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_gso	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_lmo	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.4697677810470779	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_lso	6.899626358695653e-05	0.00010201590401785713	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_sgso	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_sgso_us	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
bxt_gmosa	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	0.002282547624143836	6.899626358695653e-05	0.00109100341796875	0.02631275073902027	3.552792677238806e-05
bxt_gso	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.002282547624143836	1.0	3.552792677238806e-05	0.632171630859375	0.2198828125	3.552792677238806e-05
bxt_lmo	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.4697677810470779	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	6.899626358695653e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
bxt_lso	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.00109100341796875	0.632171630859375	3.552792677238806e-05	1.0	0.38533823113692434	3.552792677238806e-05
bxt_sgso	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.02631275073902027	0.2198828125	3.552792677238806e-05	0.38533823113692434	1.0	3.552792677238806e-05
bxt_sgso_us	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0
