	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	7.934570312499999e-05	7.934570312499999e-05	0.00015869140625	7.934570312499999e-05	7.934570312499999e-05	0.0005648338188559322	7.934570312499999e-05	7.934570312499999e-05	7.934570312499999e-05	7.934570312499999e-05	7.934570312499999e-05	0.001650902532762097
brf_gmosa	7.934570312499999e-05	1.0	0.00015869140625	7.934570312499999e-05	7.934570312499999e-05	0.00014426491477272728	0.00015869140625	7.934570312499999e-05	0.00015869140625	7.934570312499999e-05	0.19822626528532608	0.0002532309674202128	0.0004176089638157895
brf_gso	7.934570312499999e-05	0.00015869140625	1.0	7.934570312499999e-05	0.004156203497023809	0.820892333984375	0.00015869140625	0.3058096749441964	0.648807726408306	7.934570312499999e-05	7.934570312499999e-05	0.7532174246651785	0.0004176089638157895
brf_lmo	0.00015869140625	7.934570312499999e-05	7.934570312499999e-05	1.0	7.934570312499999e-05	7.934570312499999e-05	0.0004176089638157895	7.934570312499999e-05	7.934570312499999e-05	0.0004176089638157895	0.00014426491477272728	7.934570312499999e-05	0.0007537841796875
brf_lso	7.934570312499999e-05	7.934570312499999e-05	0.004156203497023809	7.934570312499999e-05	1.0	0.0076618194580078125	0.00015869140625	0.0002532309674202128	0.012983842329545454	7.934570312499999e-05	0.0091552734375	0.029061844099813435	0.0004176089638157895
brf_sgso	7.934570312499999e-05	0.00014426491477272728	0.820892333984375	7.934570312499999e-05	0.0076618194580078125	1.0	0.00015869140625	0.18244844324448528	0.40674591064453125	7.934570312499999e-05	7.934570312499999e-05	0.6288361420502534	0.0004176089638157895
brf_sgso_us	0.0005648338188559322	0.00015869140625	0.00015869140625	0.0004176089638157895	0.00015869140625	0.00015869140625	1.0	0.00015869140625	0.00015869140625	0.00015869140625	0.00015869140625	0.00015869140625	0.0009755619236680328
bxt_gmosa	7.934570312499999e-05	7.934570312499999e-05	0.3058096749441964	7.934570312499999e-05	0.0002532309674202128	0.18244844324448528	0.00015869140625	1.0	0.5293554018621576	7.934570312499999e-05	7.934570312499999e-05	0.3827368507922535	0.0004176089638157895
bxt_gso	7.934570312499999e-05	0.00015869140625	0.648807726408306	7.934570312499999e-05	0.012983842329545454	0.40674591064453125	0.00015869140625	0.5293554018621576	1.0	7.934570312499999e-05	7.934570312499999e-05	0.648807726408306	0.0004176089638157895
bxt_lmo	7.934570312499999e-05	7.934570312499999e-05	7.934570312499999e-05	0.0004176089638157895	7.934570312499999e-05	7.934570312499999e-05	0.00015869140625	7.934570312499999e-05	7.934570312499999e-05	1.0	0.00014426491477272728	7.934570312499999e-05	0.0005648338188559322
bxt_lso	7.934570312499999e-05	0.19822626528532608	7.934570312499999e-05	0.00014426491477272728	0.0091552734375	7.934570312499999e-05	0.00015869140625	7.934570312499999e-05	7.934570312499999e-05	0.00014426491477272728	1.0	7.934570312499999e-05	0.0004176089638157895
bxt_sgso	7.934570312499999e-05	0.0002532309674202128	0.7532174246651785	7.934570312499999e-05	0.029061844099813435	0.6288361420502534	0.00015869140625	0.3827368507922535	0.648807726408306	7.934570312499999e-05	7.934570312499999e-05	1.0	0.0004176089638157895
bxt_sgso_us	0.001650902532762097	0.0004176089638157895	0.0004176089638157895	0.0007537841796875	0.0004176089638157895	0.0004176089638157895	0.0009755619236680328	0.0004176089638157895	0.0004176089638157895	0.0005648338188559322	0.0004176089638157895	0.0004176089638157895	1.0
