	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.3279474431818176e-05	4.3279474431818176e-05	0.019770304361979164	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	0.06079596442145271	4.3279474431818176e-05	4.3279474431818176e-05	7.934570312499999e-05
brf_gmosa	4.3279474431818176e-05	1.0	4.3279474431818176e-05	4.3279474431818176e-05	0.00011706743084016393	4.3279474431818176e-05	0.24044921875	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	0.0004973909748134329	4.3279474431818176e-05	4.3279474431818176e-05
brf_gso	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05	4.3279474431818176e-05	0.93988037109375	4.3279474431818176e-05	0.0004973909748134329	0.003687898877640845	4.3279474431818176e-05	4.3279474431818176e-05	0.0014622279575892856	4.3279474431818176e-05
brf_lmo	0.019770304361979164	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	0.93988037109375	7.934570312499999e-05	4.3279474431818176e-05	7.934570312499999e-05
brf_lso	4.3279474431818176e-05	0.00011706743084016393	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05	4.3279474431818176e-05	0.02667319937928082	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05
brf_sgso	4.3279474431818176e-05	4.3279474431818176e-05	0.93988037109375	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05	7.934570312499999e-05	0.0002644856770833333	4.3279474431818176e-05	4.3279474431818176e-05	0.0011384383491847827	4.3279474431818176e-05
brf_sgso_us	4.3279474431818176e-05	0.24044921875	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	7.934570312499999e-05
bxt_gmosa	4.3279474431818176e-05	4.3279474431818176e-05	0.0004973909748134329	4.3279474431818176e-05	0.02667319937928082	7.934570312499999e-05	4.3279474431818176e-05	1.0	0.0004973909748134329	4.3279474431818176e-05	4.3279474431818176e-05	0.0003719329833984375	4.3279474431818176e-05
bxt_gso	4.3279474431818176e-05	4.3279474431818176e-05	0.003687898877640845	4.3279474431818176e-05	4.3279474431818176e-05	0.0002644856770833333	4.3279474431818176e-05	0.0004973909748134329	1.0	4.3279474431818176e-05	4.3279474431818176e-05	0.2588653564453125	4.3279474431818176e-05
bxt_lmo	0.06079596442145271	4.3279474431818176e-05	4.3279474431818176e-05	0.93988037109375	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05	4.3279474431818176e-05	0.00019196541078629034
bxt_lso	4.3279474431818176e-05	0.0004973909748134329	4.3279474431818176e-05	7.934570312499999e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05	0.0008751364315257353
bxt_sgso	4.3279474431818176e-05	4.3279474431818176e-05	0.0014622279575892856	4.3279474431818176e-05	4.3279474431818176e-05	0.0011384383491847827	4.3279474431818176e-05	0.0003719329833984375	0.2588653564453125	4.3279474431818176e-05	4.3279474431818176e-05	1.0	4.3279474431818176e-05
bxt_sgso_us	7.934570312499999e-05	4.3279474431818176e-05	4.3279474431818176e-05	7.934570312499999e-05	4.3279474431818176e-05	4.3279474431818176e-05	7.934570312499999e-05	4.3279474431818176e-05	4.3279474431818176e-05	0.00019196541078629034	0.0008751364315257353	4.3279474431818176e-05	1.0
