	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	7.405598958333334e-05	3.911407900528169e-05	3.911407900528169e-05	0.0006679100326344936	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_gmosa	7.405598958333334e-05	1.0	0.0006679100326344936	7.405598958333334e-05	3.911407900528169e-05	0.7518225775824653	3.911407900528169e-05	0.0003606622869318182	3.911407900528169e-05	3.911407900528169e-05	0.10004092945772058	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_gso	3.911407900528169e-05	0.0006679100326344936	1.0	0.014497810192795163	0.08007303873697916	3.911407900528169e-05	3.911407900528169e-05	0.0555419921875	3.911407900528169e-05	3.911407900528169e-05	0.00018270392166940788	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_lmo	3.911407900528169e-05	7.405598958333334e-05	0.014497810192795163	1.0	0.3373378008261494	3.911407900528169e-05	3.911407900528169e-05	0.5745163821102528	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_lso	0.0006679100326344936	3.911407900528169e-05	0.08007303873697916	0.3373378008261494	1.0	3.911407900528169e-05	3.911407900528169e-05	0.781951904296875	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_sgso	3.911407900528169e-05	0.7518225775824653	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.18554900413335756	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
brf_sgso_us	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	7.405598958333334e-05
bxt_gmo	3.911407900528169e-05	0.0003606622869318182	0.0555419921875	0.5745163821102528	0.781951904296875	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
bxt_gmosa	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
bxt_gso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0	7.405598958333334e-05	0.004755783081054688	0.4218737747222792	3.911407900528169e-05
bxt_lmo	3.911407900528169e-05	0.10004092945772058	0.00018270392166940788	3.911407900528169e-05	3.911407900528169e-05	0.18554900413335756	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	7.405598958333334e-05	1.0	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05
bxt_lso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.004755783081054688	3.911407900528169e-05	1.0	0.012342664930555556	3.911407900528169e-05
bxt_sgso	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	0.4218737747222792	3.911407900528169e-05	0.012342664930555556	1.0	3.911407900528169e-05
bxt_sgso_us	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	7.405598958333334e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	3.911407900528169e-05	1.0
