	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.026475016276041666	0.6913400129838423	0.6312734914380451	0.13286685943603516	0.09372711181640625	0.3101720036687078	0.003018586531929348	0.0005049272017045455	0.0009918212890625	0.19835223573626895	0.026475016276041666	0.0019439697265625	0.013803818646599264
brf_gmosa	0.026475016276041666	1.0	0.0238037109375	0.062286376953125	0.6913400129838423	0.0036657714843749997	0.3101720036687078	0.000396728515625	0.000396728515625	0.000396728515625	0.00426483154296875	0.000396728515625	0.000396728515625	0.01505480314555921
brf_gso	0.6913400129838423	0.0238037109375	1.0	0.6312734914380451	0.047326405843098954	0.10086990615068855	0.37149859078322783	0.00426483154296875	0.0012149810791015625	0.0005049272017045455	0.10086990615068855	0.03533416098736702	0.0019439697265625	0.01505480314555921
brf_lmo	0.6312734914380451	0.062286376953125	0.6312734914380451	1.0	0.19835223573626895	0.0676116943359375	0.3101720036687078	0.006479899088541667	0.000396728515625	0.000396728515625	0.07608204967570754	0.01505480314555921	0.00069427490234375	0.01505480314555921
brf_lso	0.13286685943603516	0.6913400129838423	0.047326405843098954	0.19835223573626895	1.0	0.026475016276041666	0.3101720036687078	0.0019439697265625	0.0009918212890625	0.0005049272017045455	0.0019439697265625	0.005266913052262932	0.0012149810791015625	0.013803818646599264
brf_sgso	0.09372711181640625	0.0036657714843749997	0.10086990615068855	0.0676116943359375	0.026475016276041666	1.0	0.3101720036687078	0.08537009910300926	0.0005049272017045455	0.0036657714843749997	0.8300133599175347	0.4749509512660015	0.09372711181640625	0.030668839164402176
brf_sgso_us	0.3101720036687078	0.3101720036687078	0.37149859078322783	0.3101720036687078	0.3101720036687078	0.3101720036687078	1.0	0.42181057400173616	0.5023905436197916	0.42181057400173616	0.35200639204545453	0.3101720036687078	0.37149859078322783	0.35200639204545453
bxt_gmo	0.003018586531929348	0.000396728515625	0.00426483154296875	0.006479899088541667	0.0019439697265625	0.08537009910300926	0.42181057400173616	1.0	0.0238037109375	0.4749509512660015	0.0676116943359375	0.35200639204545453	0.899932861328125	0.2160334800606343
bxt_gmosa	0.0005049272017045455	0.000396728515625	0.0012149810791015625	0.000396728515625	0.0009918212890625	0.0005049272017045455	0.5023905436197916	0.0238037109375	1.0	0.020897674560546874	0.00426483154296875	0.002398404208096591	0.007883379536290322	0.7215778479415379
bxt_gso	0.0009918212890625	0.000396728515625	0.0005049272017045455	0.000396728515625	0.0005049272017045455	0.0036657714843749997	0.42181057400173616	0.4749509512660015	0.020897674560546874	1.0	0.002398404208096591	0.11210225423177084	0.11745088227619994	0.13286685943603516
bxt_lmo	0.19835223573626895	0.00426483154296875	0.10086990615068855	0.07608204967570754	0.0019439697265625	0.8300133599175347	0.35200639204545453	0.0676116943359375	0.00426483154296875	0.002398404208096591	1.0	0.13286685943603516	0.011889457702636717	0.017801920572916668
bxt_lso	0.026475016276041666	0.000396728515625	0.03533416098736702	0.01505480314555921	0.005266913052262932	0.4749509512660015	0.3101720036687078	0.35200639204545453	0.002398404208096591	0.11210225423177084	0.13286685943603516	1.0	0.2829374425551471	0.0676116943359375
bxt_sgso	0.0019439697265625	0.000396728515625	0.0019439697265625	0.00069427490234375	0.0012149810791015625	0.09372711181640625	0.37149859078322783	0.899932861328125	0.007883379536290322	0.11745088227619994	0.011889457702636717	0.2829374425551471	1.0	0.10086990615068855
bxt_sgso_us	0.013803818646599264	0.01505480314555921	0.01505480314555921	0.01505480314555921	0.013803818646599264	0.030668839164402176	0.35200639204545453	0.2160334800606343	0.7215778479415379	0.13286685943603516	0.017801920572916668	0.0676116943359375	0.10086990615068855	1.0
