	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	0.00019375113553779072	9.918212890625e-05	0.046877441406250005	9.918212890625e-05	0.0009771276403356482	0.23463104992378048	0.003879123263888889	0.00014241536458333334	0.00014241536458333334	0.00040499369303385413	9.918212890625e-05	0.00014241536458333334	0.3008970697242093
brf_gmosa	0.00019375113553779072	1.0	0.0025456746419270835	9.918212890625e-05	0.009642706976996528	9.918212890625e-05	0.0012623180042613637	0.001636505126953125	9.918212890625e-05	9.918212890625e-05	0.0025456746419270835	9.918212890625e-05	0.00014241536458333334	0.03069820919552365
brf_gso	9.918212890625e-05	0.0025456746419270835	1.0	0.00019375113553779072	0.899932861328125	0.8698184543185764	0.005513951398324276	0.003879123263888889	0.0003018586531929348	0.00014241536458333334	0.0005667550223214286	0.00014241536458333334	0.00019375113553779072	0.09589781942246835
brf_lmo	0.046877441406250005	9.918212890625e-05	0.00019375113553779072	1.0	0.0003018586531929348	0.004628499348958334	0.026667764742080477	0.5242259890534157	9.918212890625e-05	9.918212890625e-05	0.00014241536458333334	9.918212890625e-05	9.918212890625e-05	0.5810449773615057
brf_lso	9.918212890625e-05	0.009642706976996528	0.899932861328125	0.0003018586531929348	1.0	0.5524512981546336	0.005513951398324276	0.004628499348958334	0.0007623410692401961	0.0003018586531929348	0.0025456746419270835	0.00014241536458333334	0.0009771276403356482	0.08623250325520834
brf_sgso	0.0009771276403356482	9.918212890625e-05	0.8698184543185764	0.004628499348958334	0.5524512981546336	1.0	0.004628499348958334	0.07728992808948863	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.11896400451660157
brf_sgso_us	0.23463104992378048	0.0012623180042613637	0.005513951398324276	0.026667764742080477	0.005513951398324276	0.004628499348958334	1.0	0.003186835617315574	9.918212890625e-05	9.918212890625e-05	0.00014241536458333334	9.918212890625e-05	9.918212890625e-05	0.06906208239103619
bxt_gmo	0.003879123263888889	0.001636505126953125	0.003879123263888889	0.5242259890534157	0.004628499348958334	0.07728992808948863	0.003186835617315574	1.0	9.918212890625e-05	9.918212890625e-05	0.00019375113553779072	9.918212890625e-05	9.918212890625e-05	0.19700264636381173
bxt_gmosa	0.00014241536458333334	9.918212890625e-05	0.0003018586531929348	9.918212890625e-05	0.0007623410692401961	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	1.0	0.32267252604166663	0.0067047119140625	9.918212890625e-05	0.5822919022162518	0.0007623410692401961
bxt_gso	0.00014241536458333334	9.918212890625e-05	0.00014241536458333334	9.918212890625e-05	0.0003018586531929348	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.32267252604166663	1.0	0.005513951398324276	0.00014241536458333334	0.420992647331713	0.00040499369303385413
bxt_lmo	0.00040499369303385413	0.0025456746419270835	0.0005667550223214286	0.00014241536458333334	0.0025456746419270835	9.918212890625e-05	0.00014241536458333334	0.00019375113553779072	0.0067047119140625	0.005513951398324276	1.0	9.918212890625e-05	0.008057500275088027	0.0025456746419270835
bxt_lso	9.918212890625e-05	9.918212890625e-05	0.00014241536458333334	9.918212890625e-05	0.00014241536458333334	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.00014241536458333334	9.918212890625e-05	1.0	9.918212890625e-05	0.00014241536458333334
bxt_sgso	0.00014241536458333334	0.00014241536458333334	0.00019375113553779072	9.918212890625e-05	0.0009771276403356482	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	0.5822919022162518	0.420992647331713	0.008057500275088027	9.918212890625e-05	1.0	0.0009771276403356482
bxt_sgso_us	0.3008970697242093	0.03069820919552365	0.09589781942246835	0.5810449773615057	0.08623250325520834	0.11896400451660157	0.06906208239103619	0.19700264636381173	0.0007623410692401961	0.00040499369303385413	0.0025456746419270835	0.00014241536458333334	0.0009771276403356482	1.0
