	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.0021293622863732373	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_gmosa	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.00010545947883702531	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.010290960956851255	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_gso	3.654078433388158e-05	3.654078433388158e-05	1.0	0.10814909501509233	0.958753862767215	0.0005968283114882688	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_lmo	3.654078433388158e-05	3.654078433388158e-05	0.10814909501509233	1.0	0.2363967038272472	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_lso	3.654078433388158e-05	3.654078433388158e-05	0.958753862767215	0.2363967038272472	1.0	7.120768229166667e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_sgso	3.654078433388158e-05	0.00010545947883702531	0.0005968283114882688	3.654078433388158e-05	7.120768229166667e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	7.120768229166667e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
brf_sgso_us	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
bxt_gmo	0.0021293622863732373	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05
bxt_gmosa	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	0.003636678059895833	3.654078433388158e-05	0.5408688266177556	3.654078433388158e-05	3.654078433388158e-05
bxt_gso	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.003636678059895833	1.0	3.654078433388158e-05	0.06840602830908764	0.002708122064102019	3.654078433388158e-05
bxt_lmo	3.654078433388158e-05	0.010290960956851255	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	7.120768229166667e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0	3.654078433388158e-05	0.008939192390524429	3.654078433388158e-05
bxt_lso	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.5408688266177556	0.06840602830908764	3.654078433388158e-05	1.0	0.000347137451171875	3.654078433388158e-05
bxt_sgso	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	0.002708122064102019	0.008939192390524429	0.000347137451171875	1.0	3.654078433388158e-05
bxt_sgso_us	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	3.654078433388158e-05	1.0
