	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.00047607421875	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
brf_gmosa	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	0.009553222656249999	6.899626358695653e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
brf_gso	3.662109375e-05	3.662109375e-05	1.0	0.705718994140625	3.662109375e-05	0.0013831886085304054	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
brf_lmo	3.662109375e-05	3.662109375e-05	0.705718994140625	1.0	3.662109375e-05	0.0010760581656678082	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
brf_lso	3.662109375e-05	0.009553222656249999	3.662109375e-05	3.662109375e-05	1.0	6.899626358695653e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
brf_sgso	0.00047607421875	6.899626358695653e-05	0.0013831886085304054	0.0010760581656678082	6.899626358695653e-05	1.0	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
brf_sgso_us	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
bxt_gmosa	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05	0.0010760581656678082	0.5018564199472403	3.662109375e-05	3.662109375e-05
bxt_gso	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	6.899626358695653e-05	6.899626358695653e-05	0.04547761615953948	3.662109375e-05
bxt_lmo	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.0010760581656678082	6.899626358695653e-05	1.0	0.0010760581656678082	3.662109375e-05	3.662109375e-05
bxt_lso	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.5018564199472403	6.899626358695653e-05	0.0010760581656678082	1.0	3.662109375e-05	3.662109375e-05
bxt_sgso	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.04547761615953948	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05
bxt_sgso_us	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0
