	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	4.57763671875e-05	8.655894886363635e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.26586171743032094	0.00020880448190789476	8.655894886363635e-05	0.9520866096793831	4.57763671875e-05
brf_gmosa	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05	0.05644880022321428	4.57763671875e-05	0.006385439918154762	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.029502175071022728
brf_gso	8.655894886363635e-05	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.18996683756510416	1.0	4.57763671875e-05	4.57763671875e-05
brf_lmo	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	0.0007797767376077585	0.309765625	4.57763671875e-05	0.8828984310752467	4.57763671875e-05	0.03904519152285448	0.00012751988002232144	4.57763671875e-05	4.57763671875e-05
brf_lso	4.57763671875e-05	0.05644880022321428	4.57763671875e-05	0.0007797767376077585	1.0	0.0017059326171875	0.0042924724641393444	0.0812008280149648	4.57763671875e-05	0.005259852255544355	4.57763671875e-05	4.57763671875e-05	0.018603515625
brf_sgso	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.309765625	0.0017059326171875	1.0	4.57763671875e-05	0.0017059326171875	4.57763671875e-05	0.2259069991438356	8.655894886363635e-05	4.57763671875e-05	4.57763671875e-05
brf_sgso_us	4.57763671875e-05	0.006385439918154762	4.57763671875e-05	4.57763671875e-05	0.0042924724641393444	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05
bxt_gmosa	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.8828984310752467	0.0812008280149648	0.0017059326171875	4.57763671875e-05	1.0	4.57763671875e-05	0.0076618194580078125	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05
bxt_gso	0.26586171743032094	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05	0.05644880022321428	4.57763671875e-05
bxt_lmo	0.00020880448190789476	4.57763671875e-05	0.18996683756510416	0.03904519152285448	0.005259852255544355	0.2259069991438356	4.57763671875e-05	0.0076618194580078125	4.57763671875e-05	1.0	0.050827923943014705	4.57763671875e-05	4.57763671875e-05
bxt_lso	8.655894886363635e-05	4.57763671875e-05	1.0	0.00012751988002232144	4.57763671875e-05	8.655894886363635e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.050827923943014705	1.0	4.57763671875e-05	4.57763671875e-05
bxt_sgso	0.9520866096793831	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.05644880022321428	4.57763671875e-05	4.57763671875e-05	1.0	4.57763671875e-05
bxt_sgso_us	4.57763671875e-05	0.029502175071022728	4.57763671875e-05	4.57763671875e-05	0.018603515625	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0
