	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	9.1552734375e-05	0.0004327947443181818	5.289713541666667e-05	9.1552734375e-05	0.016209193638392856	0.018894195556640625	0.21795919667119565	0.0022968493009868423	5.289713541666667e-05
brf_gmosa	5.289713541666667e-05	1.0	5.289713541666667e-05	0.743560791015625	0.006594798603995902	9.1552734375e-05	5.289713541666667e-05	0.002777099609375	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05
brf_gso	5.289713541666667e-05	5.289713541666667e-05	1.0	0.016209193638392856	0.10718671013327205	0.3445994755993151	5.289713541666667e-05	0.54929443359375	5.289713541666667e-05	0.0004327947443181818	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05
brf_lmo	5.289713541666667e-05	0.743560791015625	0.016209193638392856	1.0	0.0347900390625	0.3957527779244088	5.289713541666667e-05	0.27324676513671875	5.289713541666667e-05	0.0004327947443181818	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05
brf_lso	9.1552734375e-05	0.006594798603995902	0.10718671013327205	0.0347900390625	1.0	0.569186916599026	5.289713541666667e-05	0.27324676513671875	5.289713541666667e-05	0.002777099609375	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05
brf_sgso	0.0004327947443181818	9.1552734375e-05	0.3445994755993151	0.3957527779244088	0.569186916599026	1.0	5.289713541666667e-05	0.569186916599026	5.289713541666667e-05	0.0010626656668526785	5.289713541666667e-05	9.1552734375e-05	5.289713541666667e-05
brf_sgso_us	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	1.0	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	0.002777099609375
bxt_gmosa	9.1552734375e-05	0.002777099609375	0.54929443359375	0.27324676513671875	0.27324676513671875	0.569186916599026	5.289713541666667e-05	1.0	5.289713541666667e-05	9.1552734375e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05
bxt_gso	0.016209193638392856	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	1.0	5.289713541666667e-05	0.08604863864272388	0.27324676513671875	5.289713541666667e-05
bxt_lmo	0.018894195556640625	5.289713541666667e-05	0.0004327947443181818	0.0004327947443181818	0.002777099609375	0.0010626656668526785	5.289713541666667e-05	9.1552734375e-05	5.289713541666667e-05	1.0	9.1552734375e-05	9.1552734375e-05	5.289713541666667e-05
bxt_lso	0.21795919667119565	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	0.08604863864272388	9.1552734375e-05	1.0	0.07728992808948863	5.289713541666667e-05
bxt_sgso	0.0022968493009868423	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	9.1552734375e-05	5.289713541666667e-05	5.289713541666667e-05	0.27324676513671875	9.1552734375e-05	0.07728992808948863	1.0	5.289713541666667e-05
bxt_sgso_us	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	0.002777099609375	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	5.289713541666667e-05	1.0
