	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	1.0	0.004836309523809524	0.0026726973684210527	0.0026726973684210527
blmnii_svm	0.0026726973684210527	1.0	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527
brf_lmo	0.0026726973684210527	0.0026726973684210527	1.0	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.004836309523809524	0.0026726973684210527	0.713610197368421	0.0026726973684210527	0.0026726973684210527
bxt_gmo__nrlmf	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	1.0	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.33968538851351354	0.0026726973684210527	0.0026726973684210527
bxt_gmosa_1k	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	1.0	0.040201822916666664	0.5619030295917166	0.011039402173913044	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.004836309523809524
bxt_gmosa__nrlmf	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.040201822916666664	1.0	0.03046875	0.011039402173913044	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.004836309523809524
bxt_gso_1k	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.5619030295917166	0.03046875	1.0	0.011039402173913044	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.004836309523809524
bxt_gso__nrlmf	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.011039402173913044	0.011039402173913044	0.011039402173913044	1.0	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.011039402173913044
dnilmf	0.0026726973684210527	0.0026726973684210527	0.004836309523809524	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	1.0	0.0026726973684210527	0.13982234589041095	0.0026726973684210527	0.03121852683999116
dthybrid	1.0	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	1.0	0.011039402173913044	0.0026726973684210527	0.0026726973684210527
lmorls	0.004836309523809524	0.0026726973684210527	0.713610197368421	0.33968538851351354	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.13982234589041095	0.011039402173913044	1.0	0.011039402173913044	0.004836309523809524
md_ss_bxt_gso	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.011039402173913044	1.0	0.8566862824675324
nrlmf	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.0026726973684210527	0.004836309523809524	0.004836309523809524	0.004836309523809524	0.011039402173913044	0.03121852683999116	0.0026726973684210527	0.004836309523809524	0.8566862824675324	1.0
