	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.05782240227961913	0.002626616379310345	0.00714111328125	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345
blmnii_svm	0.05782240227961913	1.0	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345
brf_lmo	0.002626616379310345	0.002626616379310345	1.0	0.002626616379310345	0.002626616379310345	0.02273787313432836	0.002626616379310345	0.002626616379310345	0.04135044642857143	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.06886772260273973
bxt_gmo__nrlmf	0.00714111328125	0.002626616379310345	0.002626616379310345	1.0	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.4985795454545454	0.02273787313432836	0.002626616379310345	0.002626616379310345
bxt_gmosa_1k	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	1.0	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.04135044642857143
bxt_gmosa__nrlmf	0.002626616379310345	0.002626616379310345	0.02273787313432836	0.002626616379310345	0.002626616379310345	1.0	0.002626616379310345	0.02493554633880432	0.6464622026641696	0.004836309523809524	0.002626616379310345	0.002626616379310345	0.01171875
bxt_gso_1k	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	1.0	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.24171874999999998
bxt_gso__nrlmf	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.02493554633880432	0.002626616379310345	1.0	0.1776399769436973	0.004836309523809524	0.002626616379310345	0.002626616379310345	0.004836309523809524
dnilmf	0.002626616379310345	0.002626616379310345	0.04135044642857143	0.002626616379310345	0.002626616379310345	0.6464622026641696	0.002626616379310345	0.1776399769436973	1.0	0.004836309523809524	0.002626616379310345	0.002626616379310345	0.004836309523809524
dthybrid	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.4985795454545454	0.002626616379310345	0.004836309523809524	0.002626616379310345	0.004836309523809524	0.004836309523809524	1.0	0.06886772260273973	0.002626616379310345	0.002626616379310345
lmorls	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.02273787313432836	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.06886772260273973	1.0	0.002626616379310345	0.002626616379310345
md_ss_bxt_gso	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	0.002626616379310345	1.0	0.3848684210526316
nrlmf	0.002626616379310345	0.002626616379310345	0.06886772260273973	0.002626616379310345	0.04135044642857143	0.01171875	0.24171874999999998	0.004836309523809524	0.004836309523809524	0.002626616379310345	0.002626616379310345	0.3848684210526316	1.0
