	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.005345394736842105	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125
blmnii_svm	0.005345394736842105	1.0	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125
brf_lmo	0.003173828125	0.003173828125	1.0	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.023082386363636364	0.003173828125	0.6953125	0.003173828125	0.012285786290322582
bxt_gmo__nrlmf	0.003173828125	0.003173828125	0.003173828125	1.0	0.023082386363636364	0.031833022388059705	0.1142578125	0.0728600543478261	0.003173828125	0.003173828125	0.003173828125	0.0076171875	0.005345394736842105
bxt_gmosa_1k	0.003173828125	0.003173828125	0.003173828125	0.023082386363636364	1.0	0.4985795454545454	0.1142578125	0.17112585616438356	0.003173828125	0.003173828125	0.003173828125	0.1142578125	0.005345394736842105
bxt_gmosa__nrlmf	0.003173828125	0.003173828125	0.003173828125	0.031833022388059705	0.4985795454545454	1.0	0.24171874999999998	0.0728600543478261	0.005345394736842105	0.003173828125	0.003173828125	0.005345394736842105	0.0076171875
bxt_gso_1k	0.003173828125	0.003173828125	0.003173828125	0.1142578125	0.1142578125	0.24171874999999998	1.0	0.3155245387149584	0.005345394736842105	0.003173828125	0.003173828125	0.003173828125	0.005345394736842105
bxt_gso__nrlmf	0.003173828125	0.003173828125	0.003173828125	0.0728600543478261	0.17112585616438356	0.0728600543478261	0.3155245387149584	1.0	0.005345394736842105	0.003173828125	0.003173828125	0.012285786290322582	0.0076171875
dnilmf	0.003173828125	0.003173828125	0.023082386363636364	0.003173828125	0.003173828125	0.005345394736842105	0.005345394736842105	0.005345394736842105	1.0	0.003173828125	0.015495156473424919	0.005345394736842105	0.17734809068762655
dthybrid	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	1.0	0.003173828125	0.003173828125	0.003173828125
lmorls	0.003173828125	0.003173828125	0.6953125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.003173828125	0.015495156473424919	0.003173828125	1.0	0.003173828125	0.003173828125
md_ss_bxt_gso	0.003173828125	0.003173828125	0.003173828125	0.0076171875	0.1142578125	0.005345394736842105	0.003173828125	0.012285786290322582	0.005345394736842105	0.003173828125	0.003173828125	1.0	0.01666259765625
nrlmf	0.003173828125	0.003173828125	0.012285786290322582	0.005345394736842105	0.005345394736842105	0.0076171875	0.005345394736842105	0.0076171875	0.17734809068762655	0.003173828125	0.003173828125	0.01666259765625	1.0
